Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0,0.0,77.29237,0.0,0.0,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
1,0.0,0.0055122,77.29237,0.0,0.0,0.0,-11.4592285,-0.0047438,0.0018668,24.064383,-12.605153,0.0050979,-11.45908,-0.0047438,0.0018667,24.064064,-12.604985,0.0050979,-0.0015245,0.0011434,0.0009528,5.718909,13.758782,-0.0061551,27.508537,-0.003693,0.0016414,-0.0020517,5.712138,-13.757347,0.0065654,27.51264,0.003693,-0.0020517,0.002462
2,0.0,0.0418251,77.29237,0.0,0.0,0.0,-11.459666,-0.0359948,0.0141647,24.065302,-12.605642,0.0386816,-11.458536,-0.035995,0.014164,24.0629,-12.604368,0.0386815,-0.0115677,0.0086758,0.0072298,5.6486254,13.810144,-0.0467031,27.551788,-0.0280218,0.0124542,-0.0155677,5.5972524,-13.799247,0.0498166,27.582924,0.0280218,-0.0155677,0.0186812
3,0.0,0.1337081,77.29237,0.0,0.0,0.0,-11.460408,-0.1150689,0.0452838,24.066797,-12.606434,0.1236587,-11.456796,-0.1150713,0.0452763,24.059113,-12.602364,0.1236582,-0.0369801,0.0277351,0.0231126,5.4707875,13.940103,-0.149302,27.661228,-0.0895812,0.0398139,-0.0497673,5.3065557,-13.905266,0.1592555,27.760761,0.0895812,-0.0497673,0.0597208
4,0.0,0.2997898,77.29237,0.0,0.0,0.0,-11.460424,-0.2579984,0.1015314,24.066454,-12.606258,0.2772574,-11.452321,-0.2580103,0.1014939,24.049223,-12.597129,0.2772549,-0.0829139,0.0621854,0.0518212,5.1493387,14.175008,-0.3347533,27.859043,-0.200852,0.0892676,-0.1115844,4.78111,-14.096897,0.3570702,28.08221,0.200852,-0.1115844,0.1339013
5,0.0,0.5530426,77.29237,0.0,0.0,0.0,-11.45716,-0.4759544,0.1872714,24.058384,-12.602001,0.5114708,-11.4422035,-0.475995,0.1871439,24.026575,-12.58515,0.5114619,-0.1529569,0.1147177,0.0955981,4.6591716,14.533206,-0.617542,28.160685,-0.3705252,0.1646779,-0.2058474,3.979875,-14.389112,0.6587115,28.572378,0.3705252,-0.2058474,0.2470168
6,0.0,0.9012648,77.29237,0.0,0.0,0.0,-11.44618,-0.7756815,0.3050242,24.032387,-12.588271,0.8334962,-11.42177,-0.7757896,0.3046852,23.980476,-12.56077,0.8334728,-0.249266,0.1869495,0.1557912,3.985192,15.025729,-1.0063764,28.57544,-0.6038258,0.268367,-0.3354588,2.878178,-14.790909,1.0734681,29.246359,0.6038258,-0.3354588,0.4025506
7,0.0,1.3475655,77.29237,0.0,0.0,0.0,-11.421075,-1.1599442,0.45552,23.973759,-12.557295,1.2461704,-11.384468,-1.1601862,0.4547599,23.895922,-12.516059,1.2461181,-0.3727009,0.2795257,0.2329381,3.121383,15.656975,-1.5047276,29.107018,-0.9028366,0.4012607,-0.5015759,1.4661826,-15.30587,1.6050428,30.110167,0.9028366,-0.5015759,0.6018911
8,0.0,1.8908474,77.29237,0.0,0.0,0.0,-11.373641,-1.627985,0.6377136,23.863735,-12.499155,1.7484006,-11.322008,-1.6284634,0.6362092,23.753971,-12.441005,1.7482982,-0.5229583,0.3922187,0.3268489,2.0698688,16.425388,-2.1113703,29.754103,-1.2668223,0.5630321,-0.7037902,-0.2526387,-15.932736,2.2521284,31.16168,1.2668223,-0.7037902,0.8445482
9,0.0,2.5262895,77.29237,0.0,0.0,0.0,-11.294287,-2.1759858,0.8487855,23.68047,-12.402303,2.3355951,-11.224717,-2.176845,0.8460776,23.532621,-12.323979,2.3354137,-0.6987047,0.5240286,0.4366904,0.8399792,17.324154,-2.8209221,30.510958,-1.6925532,0.752246,-0.9403074,-2.263035,-16.66594,3.0089839,32.39157,1.6925532,-0.9403074,1.1283689
10,0.0,3.2458324,77.29237,0.0,0.0,0.0,-11.172543,-2.7975218,1.0841659,23.400303,-12.254233,3.0001018,-11.082011,-2.7989523,1.0796392,23.207998,-12.152363,2.9998047,-0.8977112,0.6732834,0.5610696,-0.5526862,18.341871,-3.6243827,31.367981,-2.17463,0.9665021,-1.2081276,-4.5395074,-17.496183,3.8660083,33.784237,2.17463,-1.2081276,1.4497533
11,0.0,4.03866,77.29237,0.0,0.0,0.0,-10.997612,-3.483997,1.3376143,22.999146,-12.042216,3.731654,-10.882887,-3.48624,1.3304781,22.755613,-11.9132185,3.7312005,-1.1169864,0.8377398,0.6981166,-2.087194,19.463243,-4.5096755,32.312294,-2.7058055,1.2025802,-1.5032253,-7.0478377,-18.410984,4.810321,35.318745,2.7058055,-1.5032253,1.8038704
12,0.0,4.8916855,77.29237,0.0,0.0,0.0,-10.758863,-4.2250566,1.6013824,22.45376,-11.75397,4.51784,-10.616359,-4.228405,1.590649,22.151527,-11.593895,4.5171866,-1.3529105,1.0146829,0.8455691,-3.738212,20.669756,-5.4621863,33.328304,-3.2773118,1.456583,-1.8207288,-9.746617,-19.395245,5.826332,36.969765,3.2773118,-1.8207288,2.1848745
13,0.0,5.79003,77.29237,0.0,0.0,0.0,-10.446215,-5.008965,1.8664712,21.742775,-11.378206,5.3445826,-10.271762,-5.013769,1.8509232,21.373205,-11.182486,5.3436923,-1.6013689,1.2010267,1.0008557,-5.476946,21.940369,-6.465302,34.398296,-3.8791811,1.7240806,-2.1551006,-12.588779,-20.431799,6.8963223,38.708496,3.8791811,-2.1551006,2.586121
14,0.0,6.7175126,77.29237,0.0,0.0,0.0,-10.050364,-5.822963,2.1229734,20.847347,-10.904967,6.196643,-9.838863,-5.829636,2.101111,20.399908,-10.668039,6.1954885,-1.857886,1.3934145,1.1611787,-7.272076,23.252195,-7.5009546,35.50299,-4.500572,2.0002544,-2.500318,-15.523127,-21.501972,8.001018,40.503628,4.500572,-2.500318,3.0003815
15,0.0,7.657128,77.29237,0.0,0.0,0.0,-9.56281,-6.6536026,2.3604739,19.751276,-10.325697,7.05813,-9.307682,-6.6626353,2.3304217,19.212412,-10.0404,7.056704,-2.117759,1.5883191,1.3235992,-9.09069,24.581182,-8.550154,36.622135,-5.1300926,2.280041,-2.8500512,-18.49586,-22.586145,9.120164,42.32224,5.1300926,-2.8500512,3.4200616
16,0.0,8.591535,77.29237,0.0,0.0,0.0,-8.975584,-7.4870734,2.5684605,18.440426,-9.632922,7.913006,-8.667843,-7.499071,2.5277948,17.791632,-9.289476,7.9113383,-2.376191,1.7821432,1.4851192,-10.8992195,25.9028,-9.593536,37.735077,-5.756122,2.5582764,-3.1978455,-21.45211,-23.664307,10.233106,44.130768,5.756122,-3.1978455,3.8374147
17,0.0,9.503533,77.29237,0.0,0.0,0.0,-8.280476,-8.309561,2.7366595,16.900976,-8.819334,8.7456,-7.907019,-8.325305,2.682073,16.11525,-8.403466,8.74377,-2.6284256,1.971319,1.642766,-12.66438,27.192722,-10.611898,38.82133,-6.3671393,2.8298397,-3.5372992,-24.33747,-24.716614,11.319359,45.89593,6.3671393,-3.5372992,4.2447596
18,0.0,10.376555,77.29237,0.0,0.0,0.0,-7.467252,-9.107646,2.855147,15.1154995,-7.8756976,9.541084,-7.0073295,-9.128254,2.781729,14.149975,-7.3647494,9.539258,-2.8698804,2.1524103,1.7936752,-14.354102,28.427523,-11.586739,39.86116,-6.952043,3.089797,-3.8622465,-27.099516,-25.72395,12.359188,47.58565,6.952043,-3.8622465,4.6346955
19,0.0,11.195144,77.29237,0.0,0.0,0.0,-6.5194755,-9.868854,2.9138927,13.053944,-6.786095,10.285956,-5.9360127,-9.896166,2.8133407,11.831873,-6.1394753,10.284459,-3.09628,2.32221,1.935175,-15.938469,29.585327,-12.500796,40.836155,-7.500478,3.3335457,-4.166932,-29.689344,-26.668476,13.334183,49.17002,7.500478,-4.166932,5.0003185
20,0.0,11.9454365,77.29237,0.0,0.0,0.0,-5.403184,-10.582568,2.9006844,10.649769,-5.5152845,10.968537,-4.614809,-10.620419,2.7555256,9.002353,-4.6437106,10.968092,-3.3037913,2.4778435,2.0648696,-17.390652,30.646538,-13.338593,41.729805,-8.003156,3.556958,-4.4461975,-32.063103,-27.534199,14.227832,50.6222,8.003156,-4.4461975,5.3354373
21,0.0,12.615651,77.29237,0.0,0.0,0.0,-4.0258327,-11.2423935,2.7925844,7.714345,-3.9634244,11.579705,-2.7427526,-11.304023,2.542448,5.039454,-2.5483618,11.582784,-3.4891553,2.6168664,2.1807218,-18.687841,31.594486,-14.086973,42.52808,-8.452184,3.7565265,-4.6956573,-34.183514,-28.307524,15.026106,51.91939,8.452184,-4.6956573,5.634789
22,0.0,13.1965685,77.29237,0.0,0.0,0.0,-1.905154,-11.8620205,2.4859617,3.2488966,-1.6020415,12.116062,-0.33967,-11.928638,2.1642654,-0.0066161,0.1201446,12.120585,-3.6498213,2.7373657,2.2811382,-19.812199,32.41613,-14.73564,43.21999,-8.841384,3.929504,-4.91188,-36.0214,-28.977814,15.718016,53.043747,8.841384,-4.91188,5.894256
23,0.0,13.682013,77.29237,0.0,0.0,0.0,-0.3527537,-12.36265,2.244546,-0.0133718,0.1229822,12.561635,-0.355176,-12.352812,2.2436779,-0.0072139,0.1195448,12.551804,-3.784082,2.8380616,2.3650513,-20.751768,33.102737,-15.277699,43.798187,-9.166619,4.0740533,-5.0925665,-37.55724,-29.537943,16.296213,53.983315,9.166619,-5.0925665,6.11108
24,0.0,14.069338,77.29237,0.0,0.0,0.0,-0.3654474,-12.70104,2.3079078,-0.0140791,0.1226031,12.905631,-0.3678879,-12.690185,2.307016,-0.0077843,0.119095,12.894796,-3.8912065,2.9184048,2.432004,-21.501434,33.65057,-15.7102,44.259518,-9.42612,4.1893864,-5.236733,-38.782654,-29.984861,16.757545,54.732986,9.42612,-5.236733,6.2840796
25,0.0,14.359917,77.29237,0.0,0.0,0.0,-0.3751971,-12.954283,2.3554351,-0.014606,0.1223042,13.163079,-0.377706,-12.942648,2.3545375,-0.0080914,0.1186819,13.151477,-3.9715724,2.9786794,2.482233,-22.063845,34.061565,-16.034668,44.605618,-9.6208,4.2759113,-5.344889,-39.701977,-30.32014,17.103645,55.29539,9.6208,-5.344889,6.4138665
26,0.0,14.559611,77.29237,0.0,0.0,0.0,-0.382014,-13.128004,2.3880947,-0.0149573,0.1220875,13.339689,-0.3845172,-13.1158285,2.3871813,-0.0083992,0.1184433,13.327554,-4.0268025,3.020102,2.5167518,-22.45035,34.34401,-16.25765,44.843468,-9.75459,4.3353734,-5.419217,-40.333763,-30.550556,17.341494,55.6819,9.75459,-5.419217,6.5030603
27,0.0,14.679266,77.29237,0.0,0.0,0.0,-0.3861378,-13.231974,2.4076614,-0.0151765,0.1219595,13.445391,-0.3886379,-13.21947,2.4067385,-0.0085909,0.1183019,13.432931,-4.0598965,3.044922,2.537435,-22.68194,34.51325,-16.39126,44.985985,-9.834757,4.3710027,-5.463753,-40.712326,-30.688622,17.48401,55.91349,9.834757,-5.463753,6.556504
28,0.0,14.7351885,77.29237,0.0,0.0,0.0,-0.3880612,-13.280535,2.4168026,-0.01531,0.1219156,13.49476,-0.3905338,-13.2678795,2.4158692,-0.0087655,0.1182804,13.482149,-4.0753627,3.0565224,2.5471017,-22.790178,34.592346,-16.453707,45.05259,-9.872224,4.387655,-5.4845686,-40.88925,-30.753145,17.55062,56.02173,9.872224,-5.4845686,6.581482
29,0.0,14.749635,77.29237,0.0,0.0,0.0,-0.3885755,-13.293076,2.4191675,-0.015311,0.1218864,13.50751,-0.3910839,-13.280378,2.4182413,-0.0086883,0.1182104,13.494859,-4.0793586,3.059519,2.5495992,-22.818142,34.61278,-16.469837,45.0698,-9.881903,4.3919563,-5.489946,-40.93496,-30.769821,17.567825,56.04969,9.881903,-5.489946,6.587935
30,3.4e-05,14.749998,77.29222,0.0,0.0,0.000104,-0.3885368,-13.293447,2.4191217,-0.0153494,0.1218965,13.507867,-0.3908784,-13.28577,2.418781,-0.0086908,0.1178669,13.500259,-4.079719,3.0597243,2.5493371,-22.819124,34.61353,-16.470663,45.07042,-9.882333,4.3922048,-5.4902678,-40.936275,-30.7704,17.568493,56.05063,9.882333,-5.490221,6.588284
31,0.0006178,14.749998,77.289665,0.0,0.0,0.0018921,-0.3879934,-13.294377,2.4173894,-0.0152922,0.1216898,13.508478,-0.3843016,-13.317766,2.417198,-0.0087908,0.1115406,13.531448,-4.084185,3.0619574,2.5437548,-22.823933,34.617535,-16.477877,45.073624,-9.885538,4.394609,-5.4934735,-40.939083,-30.773207,17.5725,56.054638,9.885538,-5.492625,6.5914893
32,0.0025408,14.749998,77.28126,0.0,0.0,0.0077812,-0.3860522,-13.297454,2.4116483,-0.015418,0.1211784,13.510494,-0.3603931,-13.380806,2.4044142,-0.009101,0.09023,13.591214,-4.098894,3.0693119,2.525369,-22.83977,34.63073,-16.50163,45.084183,-9.896096,4.4025273,-5.50403,-40.948322,-30.782444,17.585697,56.067833,9.896096,-5.500543,6.602047
33,0.0064584,14.749998,77.264114,0.0,0.0,0.0197789,-0.3821656,-13.303717,2.3999686,-0.0155286,0.1200574,13.514604,-5.4700603,-13.165773,3.5516331,10.675572,-5.6083174,13.628107,-4.12886,3.0842948,2.4879115,-22.872032,34.65762,-16.550022,45.10569,-9.917604,4.418658,-5.5255384,-40.967136,-30.80126,17.612581,56.09472,9.917604,-5.5166745,6.6235547
34,0.0128907,14.749998,77.23597,0.0,0.0,0.0394777,-0.3757938,-13.314001,2.3807945,-0.0156787,0.1181982,13.521349,-8.170254,-13.087741,4.133258,16.44926,-8.738905,13.7135105,-4.1780596,3.1088946,2.4264114,-22.925001,34.70176,-16.629478,45.141006,-9.952917,4.445143,-5.560852,-40.99804,-30.832163,17.656725,56.138863,9.952917,-5.5431595,6.6588683
35,0.0222306,14.749998,77.195114,0.0,0.0,0.0680812,-0.3665425,-13.328934,2.3529546,-0.0158684,0.1154807,13.531154,-10.333102,-13.065227,4.5802393,21.194963,-11.361523,13.830101,-4.249501,3.1446154,2.3371103,-23.001917,34.765854,-16.744852,45.192284,-10.004193,4.483601,-5.612129,-41.042904,-30.877031,17.720821,56.202957,10.004193,-5.581617,6.7101455
36,0.0347528,14.749998,77.14033,0.0,0.0,0.1064306,-0.3540844,-13.34896,2.315618,-0.0161879,0.1118686,13.544312,-12.181562,-13.073447,4.9427805,25.38519,-13.73003,13.854118,-4.3452835,3.1925066,2.2173822,-23.10504,34.85179,-16.899534,45.26103,-10.072942,4.535162,-5.680877,-41.103058,-30.937183,17.806755,56.28889,10.072942,-5.633178,6.7788935
37,0.0506223,14.749998,77.0709,0.0,0.0,0.1550308,-0.3382547,-13.374345,2.268295,-0.0165982,0.1072864,13.561007,-13.779265,-13.122617,5.2365823,29.156153,-15.919476,13.854118,-4.4666686,3.253199,2.0656505,-23.235725,34.960697,-17.095564,45.348152,-10.160068,4.6005054,-5.768002,-41.179295,-31.013418,17.91566,56.397793,10.160068,-5.6985216,6.8660183
38,0.0699027,14.749998,76.98654,0.0,0.0,0.214077,-0.3189784,-13.405192,2.2107954,-0.0170675,0.1016927,13.581324,-15.154147,-13.217159,5.469382,32.56822,-17.963408,13.854118,-4.614144,3.3269367,1.8813062,-23.3945,35.093006,-17.33373,45.454006,-10.265918,4.679894,-5.8738527,-41.271915,-31.10604,18.047976,56.530113,10.265918,-5.7779098,6.971869
39,0.0925651,14.749998,76.8874,0.0,0.0,0.2834807,-3.0341077,-13.30225,2.7715566,5.647228,-2.902616,13.579912,-16.320324,-13.35737,5.645503,35.651157,-19.877869,13.854118,-4.7874885,3.4136093,1.6646253,-23.58113,35.24853,-17.613672,45.578423,-10.390337,4.7732077,-5.9982715,-41.38078,-31.214905,18.203499,56.68563,10.390337,-5.871224,7.096288
40,0.1184968,14.749998,76.77395,0.0,0.0,0.3628963,-4.5323434,-13.258938,3.043732,8.801873,-4.58012,13.592958,-17.285885,-13.542573,5.7676716,38.419773,-21.669699,13.854118,-4.9858394,3.5127845,1.416687,-23.79468,35.42649,-17.933996,45.720787,-10.532703,4.8799825,-6.1406384,-41.50535,-31.339476,18.381454,56.863598,10.532703,-5.9779987,7.2386546
41,0.1475093,14.749998,76.64702,0.0,0.0,0.4517472,-5.7280345,-13.235705,3.2391486,11.337066,-5.9310193,13.612069,-18.056408,-13.770952,5.8376822,40.881294,-23.340462,13.854118,-5.2077556,3.6237423,1.1392915,-24.033602,35.62559,-18.29238,45.880074,-10.691984,4.9994435,-6.2999196,-41.644722,-31.478848,18.580557,57.062695,10.691984,-6.09746,7.3979354
42,0.1793476,14.749998,76.50772,0.0,0.0,0.5492521,-6.783021,-13.224859,3.3959372,13.587007,-7.1321,13.635532,-18.636658,-14.039547,5.856708,43.038883,-24.888348,13.854118,-5.451287,3.745508,0.8348776,-24.295794,35.844086,-18.685669,46.054867,-10.866779,5.13054,-6.4747143,-41.79767,-31.631792,18.799051,57.28119,10.866779,-6.2285557,7.5727305
43,0.2136985,14.749998,76.357445,0.0,0.0,0.6544516,-7.748788,-13.223785,3.5269775,15.657523,-8.239287,13.662584,-19.031458,-14.34429,5.8254733,44.89362,-26.30929,13.854118,-5.714036,3.8768833,0.506441,-24.578678,36.079823,-19.109995,46.243454,-11.055368,5.2719817,-6.6633034,-41.96268,-31.796806,19.034788,57.51693,11.055368,-6.369998,7.76132
44,0.250199,14.749998,76.19775,0.0,0.0,0.7662343,-8.647641,-13.231111,3.6385307,17.594002,-9.276495,13.692666,-19.246178,-14.680109,5.744394,46.445602,-27.59767,13.854118,-5.9932275,4.016479,0.1574515,-24.879265,36.33031,-19.560871,46.443848,-11.255759,5.4222746,-6.8636937,-42.138023,-31.972147,19.285275,57.76741,11.255759,-6.520291,7.9617105
45,0.2884451,14.749998,76.03042,0.0,0.0,0.8833631,-9.490577,-13.245862,3.7343109,19.418348,-10.255196,13.725275,-19.286985,-15.04108,5.613719,47.69474,-28.74688,13.854118,-6.2857714,4.1627507,-0.2082285,-25.194225,36.592777,-20.033314,46.65382,-11.465733,5.5797553,-7.073669,-42.32175,-32.155876,19.547745,58.029877,11.465733,-6.6777716,8.171685
46,0.3280004,14.749998,75.85737,0.0,0.0,1.0045014,-10.283308,-13.267183,3.8168423,21.141487,-11.181027,13.759923,-19.160957,-15.420573,5.4336796,48.64124,-29.749779,13.854118,-6.5883303,4.31403,-0.5864266,-25.51997,36.864235,-20.521929,46.870983,-11.682896,5.7426267,-7.2908306,-42.51177,-32.345894,19.819197,58.30133,11.682896,-6.8406434,8.388846
47,0.3684048,14.749998,75.6806,0.0,0.0,1.1282399,-11.028801,-13.294228,3.888014,22.768616,-12.056588,13.796107,-18.876091,-15.811455,5.204641,49.28598,-30.5991,13.854118,-6.8973823,4.4685564,-0.9727424,-25.852703,37.14151,-21.02103,47.092808,-11.904718,5.908994,-7.512654,-42.705864,-32.53999,20.096476,58.57861,11.904718,-7.0070114,8.61067
48,0.4091828,14.749998,75.50219,0.0,0.0,1.2531222,-11.728504,-13.326115,3.9493384,24.30176,-12.882775,13.833314,-18.441225,-16.206278,4.9272594,49.630745,-31.287865,13.854118,-7.209293,4.6245112,-1.3626295,-26.188515,37.421356,-21.52475,47.31668,-12.1285925,6.0769,-7.736527,-42.901756,-32.735878,20.376318,58.85846,12.1285925,-7.174916,8.834544
49,0.449852,14.749998,75.324265,0.0,0.0,1.3776718,-12.38331,-13.359399,4.0018916,25.74208,-13.659984,13.854118,-17.865904,-16.597498,4.6026225,49.67841,-31.809696,13.854118,-7.520372,4.7800503,-1.751478,-26.523432,37.70045,-22.027122,47.53996,-12.351871,6.2443585,-7.9598055,-43.097122,-32.931248,20.655415,59.13755,12.351871,-7.3423743,9.057821
50,0.4899325,14.749998,75.14892,0.0,0.0,1.5004182,-12.993248,-13.392511,4.0466156,27.088743,-14.387576,13.854118,-17.16022,-16.977674,4.2323728,49.433033,-32.159157,13.854118,-7.8269463,4.9333377,-2.1346967,-26.853498,37.97551,-22.522224,47.760002,-12.571916,6.409392,-8.179851,-43.28966,-33.123787,20.930471,59.41261,12.571916,-7.507408,9.277867
51,0.5289544,14.749998,74.978195,0.0,0.0,1.6199229,-13.55777,-13.427633,4.0846715,28.339268,-15.064086,13.854118,-16.334606,-17.339672,3.8187993,48.89994,-32.33204,13.854118,-8.125424,5.0825768,-2.5077946,-27.174849,38.243298,-23.00425,47.974236,-12.786149,6.570067,-8.394084,-43.477116,-33.31124,21.198265,59.680405,12.786149,-7.668083,9.492101
52,0.5664673,14.749998,74.81407,0.0,0.0,1.7348061,-14.076653,-13.463841,4.1169157,29.492243,-15.688585,13.854118,-15.399654,-17.676859,3.3649,48.085762,-32.325607,13.854118,-8.412359,5.2260447,-2.8664634,-27.483772,38.500736,-23.467634,48.180183,-12.992098,6.724529,-8.600033,-43.657322,-33.491444,21.4557,59.937836,12.992098,-7.8225446,9.69805
53,0.6020482,14.749998,74.65841,0.0,0.0,1.8437726,-14.54968,-13.500229,4.1441054,30.546333,-16.260166,13.854118,-14.365947,-17.983269,2.874409,46.998512,-32.138824,13.854118,-8.684518,5.3621235,-3.2066605,-27.776785,38.74491,-23.907154,48.375526,-13.18744,6.871035,-8.795375,-43.828247,-33.66237,21.699877,60.18201,13.18744,-7.9690514,9.893391
54,0.6353106,14.749998,74.512886,0.0,0.0,1.9456385,-14.976718,-13.53592,4.1669025,31.500439,-16.778076,13.854118,-13.243941,-18.253775,2.3517878,45.647728,-31.77257,13.854118,-8.93894,5.489335,-3.52469,-28.050703,38.973175,-24.318033,48.558136,-13.370052,7.007994,-8.977987,-43.98803,-33.822155,21.928144,60.410286,13.370052,-8.10601,10.076004
55,0.6659128,14.749998,74.379005,0.0,0.0,2.0393578,-15.357801,-13.570103,4.1858892,32.35389,-17.241793,13.854118,-12.043942,-18.484224,1.8022008,44.04473,-31.229856,13.854118,-9.173017,5.606373,-3.8172853,-28.302717,39.18319,-24.696054,48.726147,-13.538062,7.1340017,-9.145997,-44.13504,-33.969166,22.138155,60.62029,13.538062,-8.2320175,10.244013
56,0.6935666,14.749998,74.25802,0.0,0.0,2.1240479,-15.693191,-13.60204,4.201572,33.106598,-17.651125,13.854118,-10.776201,-18.671568,1.2314771,42.2031,-30.516163,13.854118,-9.3845415,5.7121353,-4.0816903,-28.53045,39.372967,-25.037653,48.87797,-13.689885,7.247867,-9.297818,-44.267883,-34.10201,22.327932,60.810066,13.689885,-8.345884,10.395835
57,0.7180462,14.749998,74.15092,0.0,0.0,2.1990162,-15.983436,-13.631107,4.214388,33.759212,-18.0063,13.854118,-9.451209,-18.813992,0.6460876,40.139484,-29.63987,13.854118,-9.571784,5.805757,-4.315744,-28.732042,39.54096,-25.34004,49.012367,-13.824279,7.348664,-9.432213,-44.38548,-34.219604,22.495926,60.97806,13.824279,-8.44668,10.53023
58,0.7391958,14.749998,74.05839,0.0,0.0,2.2637872,-16.229462,-13.6568,4.224716,34.313293,-18.308052,13.854118,-8.080282,-18.911026,0.0531684,37.875015,-28.612982,13.854118,-9.733558,5.8866434,-4.5179605,-28.906212,39.6861,-25.601294,49.12848,-13.940392,7.4357486,-9.5483265,-44.48708,-34.321205,22.641068,61.123207,13.940392,-8.533765,10.646342
59,0.7569396,14.749998,73.98076,0.0,0.0,2.3181273,-16.432642,-13.678755,4.2328835,34.7715,-18.557732,13.854118,-6.676615,-18.963709,-0.5393513,35.437595,-27.452333,13.854118,-9.869279,5.9545045,-4.687613,-29.052332,39.80787,-25.820477,49.22589,-14.037805,7.5088105,-9.6457405,-44.572315,-34.40644,22.762833,61.244972,14.037805,-8.606826,10.743757
