Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0,0.0,77.29237,0.0,0.0,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,-11.459155,-0.0,-0.0,24.064226,-12.605071,-0.0,0.0,-0.0,0.0,5.7295775,13.750985,-0.0,27.50197,-0.0,0.0,-0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
1,0.0,-0.0047807,77.29237,0.0,0.0,0.0,-11.459089,0.0041143,-0.001619,24.064087,-12.604998,-0.0044214,-11.45922,0.0041143,-0.001619,24.064362,-12.605143,-0.0044214,0.0013787,-0.0010341,0.0008617,5.714648,13.756432,-0.0056207,27.511106,-0.0031617,-0.0017565,-0.0021078,5.720444,-13.757661,0.0052694,27.507593,0.0031617,0.0014052,0.0017565
2,0.0,-0.0363966,77.29237,0.0,0.0,0.0,-11.458623,0.0313231,-0.0123257,24.063086,-12.604467,-0.033661,-11.459606,0.031323,-0.0123262,24.065178,-12.605576,-0.033661,0.0104967,-0.0078725,0.0065605,5.6159115,13.792441,-0.042792,27.57151,-0.0240705,-0.0133725,-0.016047,5.6600404,-13.801802,0.0401175,27.544765,0.0240705,0.010698,0.0133725
3,0.0,-0.116764,77.29237,0.0,0.0,0.0,-11.457156,0.1004888,-0.0395394,24.059902,-12.602781,-0.1079878,-11.460311,0.100487,-0.039545,24.066612,-12.606336,-0.1079882,0.0336746,-0.025256,0.0210466,5.364924,13.883978,-0.1372814,27.725052,-0.0772208,-0.0429004,-0.0514805,5.506495,-13.914008,0.1287013,27.639254,0.0772208,0.0343203,0.0429004
4,0.0,-0.2627683,77.29237,0.0,0.0,0.0,-11.453466,0.2261468,-0.088965,24.051767,-12.598476,-0.2430166,-11.460568,0.2261376,-0.0889938,24.06687,-12.606478,-0.2430186,0.0757821,-0.0568366,0.0473638,4.9089527,14.050274,-0.3089411,28.004004,-0.1737794,-0.0965441,-0.1158529,5.227548,-14.117854,0.2896322,27.810911,0.1737794,0.0772353,0.0965441
5,0.0,-0.486632,77.29237,0.0,0.0,0.0,-11.445242,0.4188296,-0.1646947,24.0334,-12.588758,-0.4500468,-11.4584,0.4187982,-0.1647934,24.061382,-12.603584,-0.4500536,0.1403442,-0.1052581,0.0877151,4.2098274,14.305248,-0.5721413,28.431702,-0.3218295,-0.1787942,-0.214553,4.799848,-14.430405,0.5363824,28.074116,0.3218295,0.1430353,0.1787942
6,0.0,-0.7962828,77.29237,0.0,0.0,0.0,-11.428728,0.6853978,-0.2692829,23.996204,-12.569086,-0.7363966,-11.450283,0.6853134,-0.2695474,24.042042,-12.593372,-0.7364149,0.2296472,-0.1722354,0.1435295,3.2427883,14.657933,-0.936203,29.023302,-0.5266142,-0.2925634,-0.3510761,4.2082477,-14.862728,0.8776904,28.438175,0.5266142,0.2340508,0.2925634
7,0.0,-1.1957227,77.29237,0.0,0.0,0.0,-11.398567,1.02938,-0.4037875,23.927916,-12.532975,-1.1057351,-11.431011,1.0291896,-0.4043853,23.996904,-12.569526,-1.1057762,0.3448453,-0.258634,0.2155283,1.9953384,15.1128845,-1.4058313,29.786448,-0.79078,-0.4393222,-0.5271868,3.4451015,-15.420411,1.3179668,28.907804,0.79078,0.3514578,0.4393222
8,0.0,-1.6853956,77.29237,0.0,0.0,0.0,-11.347848,1.4513229,-0.5677788,23.812727,-12.47207,-1.55841,-11.393771,1.4509434,-0.5689714,23.91036,-12.523794,-1.5584916,0.4860665,-0.3645499,0.3037916,0.4660912,15.670611,-1.981548,30.721987,-1.1146207,-0.6192338,-0.7430804,2.5095625,-16.104074,1.857701,29.48352,1.1146207,0.495387,0.6192338
9,0.0,-2.2625556,77.29237,0.0,0.0,0.0,-11.268311,1.9491442,-0.759331,23.631815,-12.376421,-2.0917754,-11.33038,1.9484568,-0.7614948,23.763742,-12.446312,-2.0919213,0.652519,-0.4893892,0.4078243,-1.3363785,16.327982,-2.6601245,31.824675,-1.4963201,-0.831289,-0.9975467,1.4068751,-16.909883,2.493867,30.162096,1.4963201,0.6650312,0.831289
