Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0,0.0,77.29237,0.0,0.0,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
1,5.98e-05,0.0050679,77.291916,0.0,0.0,0.0,-11.461002,-0.0043615,0.0017164,24.06827,-12.607269,0.0046871,-11.460866,-0.0043615,0.0017164,24.06798,-12.607115,0.0046871,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
2,0.000452,0.0383166,77.28897,0.0,0.0,0.0,-11.473073,-0.0329737,0.0129848,24.094702,-12.621633,0.0354383,-11.472038,-0.0329739,0.0129842,24.092503,-12.620468,0.0354382,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
3,0.0014395,0.1220304,77.28153,0.0,0.0,0.0,-11.503101,-0.105003,0.0414128,24.160429,-12.657365,0.1128744,-11.499816,-0.105005,0.0414067,24.15344,-12.653664,0.112874,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
4,0.0032147,0.2725215,77.268166,0.0,0.0,0.0,-11.555795,-0.2344506,0.0927155,24.275661,-12.720057,0.2521174,-11.54849,-0.2344604,0.0926849,24.260126,-12.711824,0.2521152,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
5,0.0059055,0.5006361,77.2479,0.0,0.0,0.0,-11.632555,-0.4305797,0.1709425,24.443264,-12.81135,0.4632706,-11.619221,-0.4306127,0.1708396,24.414902,-12.796323,0.4632634,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
6,0.0095814,0.8122604,77.22022,0.0,0.0,0.0,-11.731487,-0.6983564,0.2786424,24.658724,-12.928934,0.7518905,-11.710025,-0.6984427,0.2783736,24.613073,-12.904746,0.7518711,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
7,0.0142593,1.2088267,77.185,0.0,0.0,0.0,-11.847752,-1.0389078,0.4169507,24.910923,-13.066952,1.1194454,-11.816104,-1.0390978,0.4163607,24.843609,-13.031282,1.1194023,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
8,0.0199095,1.6878194,77.14245,0.0,0.0,0.0,-11.974242,-1.4499948,0.5856139,25.183622,-13.216792,1.5637631,-11.930484,-1.4503628,0.5844748,25.090557,-13.167472,1.5636784,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
9,0.0264617,2.2432816,77.09311,0.0,0.0,0.0,-12.102463,-1.9264876,0.7829896,25.457432,-13.368134,2.0794702,-12.044855,-1.9271336,0.780996,25.334927,-13.303208,2.0793192,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
