Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0,0.0,77.29237,0.0,0.0,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
1,0.0,0.0034154,77.2899,0.0,0.0,0.0,-11.469237,-0.0029392,0.0011572,24.085669,-12.616431,0.0031588,-11.469146,-0.0029392,0.0011572,24.085472,-12.616327,0.0031588,-0.0015171,0.0011378,0.0009482,5.7193265,13.758478,-0.0059141,27.508282,-0.0035485,0.0015771,-0.0019714,5.7128205,-13.757097,0.0063084,27.512224,0.0035485,-0.0019714,0.0023657
2,0.0,0.0259433,77.27365,0.0,0.0,0.0,-11.535503,-0.0223206,0.0088178,24.226597,-12.691096,0.0239992,-11.534806,-0.0223206,0.0088175,24.225115,-12.690311,0.0239991,-0.0115238,0.0086428,0.0072023,5.651709,13.80789,-0.0449243,27.54989,-0.0269546,0.0119798,-0.0149748,5.602292,-13.797408,0.0479192,27.579844,0.0269546,-0.0149748,0.0179697
3,0.0,0.083032,77.23245,0.0,0.0,0.0,-11.701607,-0.071393,0.0284434,24.57985,-12.878262,0.0768504,-11.699408,-0.0713939,0.0284406,24.575172,-12.875783,0.0768502,-0.036882,0.0276615,0.0230512,5.480357,13.933108,-0.1437809,27.655338,-0.0862685,0.0383416,-0.047927,5.3221984,-13.89956,0.1533662,27.751194,0.0862685,-0.047927,0.0575123
4,0.0,0.1863933,77.15786,0.0,0.0,0.0,-11.995995,-0.1600892,0.0647355,25.205902,-13.209997,0.1726824,-11.991174,-0.1600937,0.0647216,25.195648,-13.204564,0.1726814,-0.082794,0.0620955,0.0517463,5.1701193,14.159821,-0.3227646,27.846252,-0.1936587,0.0860706,-0.1075882,4.8150783,-14.084511,0.3442822,28.06143,0.1936587,-0.1075882,0.1291058
5,0.0,0.3442901,77.043915,0.0,0.0,0.0,-12.431077,-0.295223,0.1219957,26.13108,-13.700318,0.3194361,-12.422472,-0.295238,0.1219499,26.112772,-13.690615,0.3194325,-0.1529302,0.1146976,0.0955814,4.6961923,14.506154,-0.5961838,28.137901,-0.3577103,0.1589823,-0.1987279,4.04039,-14.3670435,0.6359294,28.535357,0.3577103,-0.1987279,0.2384735
6,0.0,0.561824,76.886925,0.0,0.0,0.0,-13.004485,-0.4807243,0.2043048,27.3502,-14.346575,0.5223364,-12.991032,-0.480763,0.204188,27.321568,-14.331393,0.5223264,-0.2495566,0.1871674,0.1559728,4.0432653,14.983292,-0.9728724,28.539701,-0.5837234,0.2594326,-0.3242908,2.973106,-14.756288,1.0377306,29.188284,0.5837234,-0.3242908,0.389149
7,0.0,0.8412223,76.6853,0.0,0.0,0.0,-13.702367,-0.71792,0.3154832,28.833523,-15.133135,0.784177,-13.683192,-0.7180044,0.3152336,28.792698,-15.111484,0.784154,-0.3736625,0.2802468,0.233539,3.2046525,15.596123,-1.4566875,29.055773,-0.8740125,0.38845,-0.4855625,1.6022966,-15.25623,1.5538,30.026896,0.8740125,-0.4855625,0.582675
8,0.0,1.1821258,76.43929,0.0,0.0,0.0,-14.50364,-1.0058498,0.458882,30.535751,-16.036137,1.10557,-14.478088,-1.0060116,0.4584138,30.481325,-16.00726,1.105523,-0.5250884,0.3938163,0.3281802,2.1814325,16.34386,-2.0470068,29.685446,-1.2282041,0.5458684,-0.6823356,-0.0702751,-15.866225,2.1834738,31.050117,1.2282041,-0.6823356,0.8188027
9,0.0,1.581876,76.15081,0.0,0.0,0.0,-15.383962,-1.3415954,0.6370952,32.404427,-17.027924,1.4851581,-15.351578,-1.3418763,0.6362994,32.33542,-16.991293,1.4850707,-0.7026534,0.52699,0.4391584,0.9815841,17.220673,-2.739227,30.423817,-1.6435362,0.7304605,-0.9130756,-2.0315657,-16.581522,2.921842,32.249966,1.6435362,-0.9130756,1.0956907
10,0.0,2.0358024,75.823235,0.0,0.0,0.0,-16.318665,-1.7206059,0.8516694,34.38623,-18.080357,1.9197934,-16.279163,-1.7210578,0.8504167,34.30202,-18.03563,1.9196434,-0.9042829,0.6782122,0.5651768,-0.380874,18.216316,-3.5252607,31.262253,-2.1151564,0.9400695,-1.1750869,-4.258661,-17.393755,3.760278,33.612423,2.1151564,-1.1750869,1.4101043
11,0.0,2.5375104,75.46118,0.0,0.0,0.0,-17.284569,-2.1370091,1.1028651,36.430855,-19.166855,2.4046946,-17.237803,-2.1376934,1.1010104,36.331104,-19.113842,2.404453,-1.1271366,0.8453525,0.7044604,-1.886748,19.316763,-4.3940344,32.188942,-2.6364205,1.1717424,-1.464678,-6.7201858,-18.291489,4.6869698,35.118298,2.6364205,-1.464678,1.7576137
12,0.0,3.0791678,75.07029,0.0,0.0,0.0,-18.260883,-2.5839036,1.3894932,38.493008,-20.263464,2.9335883,-18.206808,-2.5848887,1.3868811,38.377613,-20.202093,2.9332206,-1.3677355,1.0258017,0.8548346,-3.5125308,20.504835,-5.3319855,33.189423,-3.1991916,1.4218628,-1.7773286,-9.377715,-19.260706,5.6874514,36.74408,3.1991916,-1.7773286,2.1327944
13,0.0,3.6517937,74.65705,0.0,0.0,0.0,-19.229511,-3.053627,1.708835,40.533207,-21.349243,3.498855,-19.16817,-3.054986,1.7053062,40.402237,-21.279543,3.4983213,-1.62209,1.2165675,1.0138063,-5.231264,21.760834,-6.3235626,34.247105,-3.7941377,1.6862833,-2.1078544,-12.187183,-20.285334,6.7451334,38.462814,3.7941377,-2.1078544,2.5294251
14,0.0,4.245544,74.22858,0.0,0.0,0.0,-20.175022,-3.5380056,2.0566502,42.51781,-22.406317,4.0916886,-20.10653,-3.5398133,2.052049,42.37151,-22.328396,4.0909443,-1.8858278,1.4143709,1.1786425,-7.0134025,23.063164,-7.35172,35.343807,-4.4110317,1.9604584,-2.4505732,-15.100294,-21.347763,7.8418336,40.244953,4.4110317,-2.4505732,2.940688
15,0.0,4.8500004,73.792366,0.0,0.0,0.0,-21.084452,-4.0285854,2.4272683,44.41879,-23.41972,4.702278,-21.008987,-4.030914,2.4214501,44.257534,-23.33377,4.701277,-2.1543212,1.6157409,1.3464507,-8.827675,24.388979,-8.398415,36.46028,-5.039049,2.2395773,-2.7994716,-18.065931,-22.429348,8.958309,42.059227,5.039049,-2.7994716,3.359366
16,0.0,5.454456,73.35616,0.0,0.0,0.0,-21.947071,-4.5168476,2.8137612,46.21328,-24.377197,5.320033,-21.864885,-4.5197616,2.8066008,46.03759,-24.283484,5.318732,-2.4228146,1.8171108,1.5142591,-10.641947,25.714794,-9.44511,37.57676,-5.667066,2.518696,-3.1483703,-21.031569,-23.510935,10.074784,43.873497,5.667066,-3.1483703,3.7780445
17,0.0,6.0482063,72.92768,0.0,0.0,0.0,-22.754137,-4.994413,3.208189,47.883156,-25.268969,5.933848,-22.665537,-4.997968,3.1995885,47.69369,-25.167833,5.9322057,-2.6865523,2.0149143,1.6790951,-12.424086,27.017122,-10.473268,38.67346,-6.2839603,2.7928712,-3.491089,-23.94468,-24.573362,11.171485,45.655636,6.2839603,-3.491089,4.1893067
18,0.0,6.620832,72.51445,0.0,0.0,0.0,-23.49867,-5.4532385,3.6019137,49.41459,-26.087515,6.53241,-23.404024,-5.4574733,3.5918093,49.21215,-25.979374,6.5303946,-2.940907,2.2056801,1.8380668,-14.142819,28.273123,-11.464844,39.73114,-6.8789062,3.0572917,-3.8216147,-26.754147,-25.597992,12.229167,47.37437,6.8789062,-3.8216147,4.585938
