Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0,0.0,77.29237,0.0,0.0,0.0,-11.459155,-0.0,-0.0,24.064226,-12.605071,-0.0,-11.459155,-0.0,-0.0,24.064226,-12.605071,-0.0,0.0,-0.0,0.0,5.7295775,13.750985,-0.0,27.50197,-0.0,0.0,-0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
1,0.0,-0.0027215,77.290405,0.0,0.0,0.0,-11.467117,0.0023421,-0.000922,24.081158,-12.614041,-0.002517,-11.467191,0.0023421,-0.000922,24.081314,-12.614124,-0.002517,0.0012089,-0.0009067,0.0007555,5.716225,13.755856,-0.0050268,27.510141,-0.0028276,-0.0015709,-0.0018851,5.721409,-13.756955,0.0047127,27.506998,0.0028276,0.0012567,0.0015709
2,0.0,-0.020755,77.27739,0.0,0.0,0.0,-11.51972,0.0178578,-0.007049,24.193033,-12.673313,-0.0191987,-11.520278,0.0178577,-0.0070492,24.19422,-12.673942,-0.0191987,0.0092191,-0.0069144,0.005762,5.6277475,13.788125,-0.0383359,27.564268,-0.021564,-0.01198,-0.014376,5.6672816,-13.796511,0.0359399,27.540308,0.021564,0.009584,0.01198
3,0.0,-0.0667032,77.24423,0.0,0.0,0.0,-11.652586,0.0573637,-0.0227972,24.475597,-12.823023,-0.0617277,-11.654359,0.0573631,-0.022799,24.47937,-12.825022,-0.0617278,0.0296289,-0.0222216,0.018518,5.4023128,13.870342,-0.1232056,27.702183,-0.0693032,-0.0385018,-0.0462021,5.529369,-13.897293,0.1155053,27.625181,0.0693032,0.0308014,0.0385018
4,0.0,-0.1503913,77.183846,0.0,0.0,0.0,-11.890435,0.1292199,-0.051976,24.981417,-13.091042,-0.1392813,-11.894356,0.129217,-0.0519851,24.989758,-13.095461,-0.139282,0.0668023,-0.0501017,0.0417514,4.991714,14.020089,-0.2777839,27.95337,-0.1562534,-0.0868074,-0.1041689,5.278179,-14.080854,0.2604224,27.779757,0.1562534,0.069446,0.0868074
5,0.0,-0.2790626,77.09099,0.0,0.0,0.0,-12.24632,0.2394604,-0.0980501,25.738209,-13.492094,-0.2587567,-12.25339,0.2394505,-0.0980806,25.753252,-13.500067,-0.2587591,0.1239568,-0.0929676,0.077473,4.360415,14.250328,-0.5154494,28.339577,-0.2899403,-0.1610779,-0.1932935,4.8919725,-14.363083,0.4832338,28.017422,0.2899403,0.1288624,0.1610779
6,0.0,-0.457574,76.96216,0.0,0.0,0.0,-12.722053,0.3919456,-0.1642991,26.749735,-14.028245,-0.4249884,-12.73323,0.3919196,-0.1643781,26.773521,-14.040853,-0.4249949,0.2032498,-0.1524374,0.1270311,3.4845865,14.569747,-0.8451732,28.87538,-0.4754099,-0.2641166,-0.31694,4.356171,-14.75463,0.7923498,28.347145,0.4754099,0.2112933,0.2641166
7,0.0,-0.6885916,76.79545,0.0,0.0,0.0,-13.310032,0.5885436,-0.2538392,27.999651,-14.690922,-0.640949,-13.326144,0.5884862,-0.2540107,28.033949,-14.709108,-0.6409642,0.3058655,-0.2293991,0.1911659,2.3511472,14.983122,-1.2718798,29.568777,-0.7154324,-0.3974624,-0.4769549,3.6627731,-15.261342,1.1923872,28.773853,0.7154324,0.31797,0.3974624
8,0.0,-0.9727862,76.59036,0.0,0.0,0.0,-13.995966,0.8293367,-0.3695213,29.457268,-15.463973,-0.9079295,-14.017672,0.8292252,-0.3698482,29.503485,-15.488489,-0.9079607,0.4321019,-0.3240764,0.2700637,0.9568056,15.491645,-1.7968084,30.42179,-1.0107046,-0.5615026,-0.6738031,2.8097641,-15.884698,1.6845078,29.29878,1.0107046,0.4492021,0.5615026
9,0.0,-1.3090293,76.34771,0.0,0.0,0.0,-14.761743,1.1128427,-0.5137534,31.083612,-16.326859,-1.225695,-14.789531,1.1126465,-0.5143176,31.142809,-16.35827,-1.2257534,0.5814576,-0.4360932,0.363411,-0.6929006,16.093304,-2.4178743,31.431017,-1.3600541,-0.7555856,-0.9067029,1.8005322,-16.622211,2.266757,29.919846,1.3600541,0.6044686,0.7555856
10,0.0,-1.6945884,76.06947,0.0,0.0,0.0,-15.587832,1.4362386,-0.6882983,32.836567,-17.25736,-1.5926194,-15.62204,1.4359189,-0.6891994,32.90947,-17.296062,-1.5927207,0.7527191,-0.5645392,0.4704494,-2.5845647,16.783203,-3.1300302,32.588272,-1.760642,-0.9781344,-1.1737614,0.6432787,-17.467897,2.9344032,30.632004,1.760642,0.7825076,0.9781344
11,0.0,-2.125322,75.75863,0.0,0.0,0.0,-16.454998,1.79558,-0.8940864,34.674477,-18.233494,-2.0058007,-16.495836,1.7950898,-0.8954393,34.76155,-18.279743,-2.0059652,0.9440467,-0.708035,0.5900292,-4.6978703,17.553938,-3.9256277,33.88112,-2.2081654,-1.2267586,-1.4721103,-0.6495669,-18.41267,3.6802757,31.4276,2.2081654,0.9814069,1.2267586
12,0.0,-2.5958772,75.41906,0.0,0.0,0.0,-17.34531,2.186007,-1.1310682,36.558403,-19.23467,-2.4611628,-17.392887,2.185293,-1.1329994,36.65989,-19.288612,-2.4614162,1.1530626,-0.8647969,0.720664,-7.00655,18.395927,-4.7947774,35.293484,-2.6970623,-1.498368,-1.7980413,-2.0619357,-19.444784,4.495104,32.29675,2.6970623,1.1986943,1.498368
13,0.0,-3.0998826,75.05534,0.0,0.0,0.0,-18.242653,2.6019406,-1.3981158,38.453213,-20.24231,-2.9535534,-18.296999,2.6009426,-1.4007589,38.569187,-20.30399,-2.9539266,1.3769366,-1.0327024,0.8605854,-9.479346,19.297771,-5.725713,36.806255,-3.2207134,-1.7892852,-2.1471422,-3.5747051,-20.55027,5.3678555,33.227688,3.2207134,1.4314282,1.7892852
14,0.0,-3.630146,74.672676,0.0,0.0,0.0,-19.132887,3.0372608,-1.692977,40.32805,-21.240046,-3.476843,-19.193962,3.0359168,-1.6964692,40.458443,-21.30944,-3.4773705,1.6124743,-1.2093557,1.0077964,-12.080973,20.2466,-6.7051487,38.39784,-3.771646,-2.0953588,-2.5144308,-5.1662884,-21.71335,6.2860765,34.207123,3.771646,1.6762872,2.0953588
15,0.0,-4.1788487,74.2767,0.0,0.0,0.0,-20.003822,3.4854777,-2.012288,42.15635,-22.213757,-4.024035,-20.07153,3.4837236,-2.0167627,42.300964,-22.290771,-4.024754,1.8562026,-1.392152,1.1601267,-14.773068,21.228422,-7.718644,40.04477,-4.341737,-2.412076,-2.8944912,-6.8132186,-22.916874,7.236228,35.220615,4.341737,1.929661,2.412076
