Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0,0.0,77.29237,0.0,0.0,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
1,0.0,0.0054575,77.29237,0.0,0.0,0.0,-11.459228,-0.0046968,0.0018482,24.06438,-12.605153,0.0050473,-11.459081,-0.0046968,0.0018482,24.064066,-12.604986,0.0050473,-0.0015816,0.0011862,0.0009885,5.7191668,13.758594,-0.0060061,27.508377,-0.0036037,0.0016016,-0.002002,5.71256,-13.757192,0.0064065,27.512384,0.0036037,-0.002002,0.0024025
2,0.0,0.0414558,77.29237,0.0,0.0,0.0,-11.4596615,-0.035677,0.0140396,24.065294,-12.605638,0.03834,-11.458542,-0.0356772,0.0140389,24.062912,-12.604375,0.03834,-0.0120141,0.0090106,0.0075088,5.650498,13.808774,-0.045623,27.550636,-0.0273738,0.0121661,-0.0152077,5.6003127,-13.798131,0.0486646,27.581053,0.0273738,-0.0152077,0.0182492
3,0.0,0.13268,77.29237,0.0,0.0,0.0,-11.4604025,-0.1141842,0.0449356,24.066786,-12.606429,0.1227079,-11.456818,-0.1141865,0.0449282,24.059162,-12.60239,0.1227074,-0.0384514,0.0288386,0.0240321,5.476481,13.935943,-0.1460173,27.657724,-0.0876104,0.038938,-0.0486724,5.315862,-13.901871,0.1557518,27.75507,0.0876104,-0.0486724,0.0584069
4,0.0,0.297845,77.29237,0.0,0.0,0.0,-11.460434,-0.2563246,0.1008727,24.06648,-12.606273,0.2754588,-11.452383,-0.2563364,0.1008358,24.04936,-12.597202,0.2754562,-0.0863172,0.0647379,0.0539482,5.161417,14.166181,-0.327785,27.85161,-0.196671,0.0874094,-0.1092617,4.8008533,-14.089698,0.3496374,28.070135,0.196671,-0.1092617,0.131114
5,0.0,0.5501544,77.29237,0.0,0.0,0.0,-11.45722,-0.4734686,0.1862939,24.058527,-12.6020775,0.5087998,-11.442341,-0.4735088,0.1861678,24.026884,-12.585314,0.508791,-0.1594379,0.1195784,0.0996487,4.6801186,14.5178995,-0.6054572,28.147793,-0.3632743,0.1614553,-0.2018191,4.014116,-14.376626,0.645821,28.55143,0.3632743,-0.2018191,0.2421829
6,0.0,0.89776,77.29237,0.0,0.0,0.0,-11.446328,-0.7726645,0.3038402,24.032734,-12.588455,0.8302552,-11.422013,-0.7727717,0.3035038,23.981028,-12.561061,0.8302319,-0.260176,0.195132,0.16261,4.0170355,15.0024605,-0.988005,28.555847,-0.592803,0.263468,-0.329335,2.93023,-14.771925,1.0538721,29.214516,0.592803,-0.329335,0.395202
7,0.0,1.3442212,77.29237,0.0,0.0,0.0,-11.4213085,-1.1570641,0.4543947,23.974304,-12.557583,1.2430784,-11.384794,-1.157305,0.4536383,23.896664,-12.51645,1.2430264,-0.389563,0.2921722,0.2434769,3.1653783,15.624824,-1.4793457,29.079943,-0.8876074,0.3944922,-0.4931152,1.5380982,-15.279643,1.5779687,30.066174,0.8876074,-0.4931152,0.5917383
8,0.0,1.888964,77.29237,0.0,0.0,0.0,-11.373837,-1.626362,0.6370845,23.864191,-12.499395,1.7466598,-11.322257,-1.6268394,0.635583,23.754538,-12.441304,1.7465578,-0.5474326,0.4105744,0.3421454,2.1262422,16.384193,-2.0788474,29.719408,-1.2473084,0.5543593,-0.6929491,-0.1604897,-15.89913,2.2174373,31.105309,1.2473084,-0.6929491,0.8315389
9,0.0,2.52774,77.29237,0.0,0.0,0.0,-11.294076,-2.1772377,0.8492643,23.679983,-12.402046,2.3369355,-11.224464,-2.1780977,0.8465532,23.532045,-12.323675,2.3367536,-0.7325536,0.5494152,0.457846,0.9077308,17.274643,-2.7818348,30.469263,-1.6691008,0.7418226,-0.9272783,-2.1522875,-16.62555,2.9672904,32.323822,1.6691008,-0.9272783,1.112734
