Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0,0.0,77.29237,0.0,0.0,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,-11.459155,-0.0,-0.0,24.064226,-12.605071,-0.0,0.0,-0.0,0.0,5.7295775,13.750985,-0.0,27.50197,-0.0,0.0,-0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
1,0.0,-0.0038953,77.29237,0.0,0.0,0.0,-11.459103,0.0033524,-0.0013192,24.064112,-12.605011,-0.0036026,-11.459208,0.0033524,-0.0013192,24.064337,-12.605129,-0.0036026,0.001059,-0.0007942,0.0006619,5.7171903,13.755504,-0.0046635,27.509548,-0.0026232,-0.0014573,-0.0017488,5.7219996,-13.756525,0.004372,27.506638,0.0026232,0.0011659,0.0014573
2,0.0,-0.0297284,77.29237,0.0,0.0,0.0,-11.458726,0.0255844,-0.0100675,24.063309,-12.604585,-0.027494,-11.459529,0.0255843,-0.0100679,24.065018,-12.60549,-0.027494,0.0080819,-0.0060614,0.0050512,5.6350403,13.785465,-0.0355905,27.559809,-0.0200196,-0.011122,-0.0133464,5.671743,-13.793249,0.0333661,27.537565,0.0200196,0.0088976,0.011122
3,0.0,-0.0956143,77.29237,0.0,0.0,0.0,-11.457581,0.0822869,-0.0323782,24.06083,-12.6032715,-0.0884278,-11.460164,0.0822856,-0.032382,24.066324,-12.606183,-0.088428,0.0259936,-0.0194952,0.016246,5.425521,13.8618765,-0.1144684,27.687984,-0.0643885,-0.0357714,-0.0429257,5.5435667,-13.886918,0.1073142,27.616442,0.0643885,0.0286171,0.0357714
4,0.0,-0.2157456,77.29237,0.0,0.0,0.0,-11.454799,0.1856762,-0.0730492,24.054718,-12.600038,-0.1995289,-11.460629,0.18567,-0.0730685,24.067118,-12.6066065,-0.1995303,0.0586523,-0.0439892,0.0366577,5.0434995,14.001204,-0.2582883,27.92169,-0.1452872,-0.0807151,-0.0968581,5.3098593,-14.057702,0.2421453,27.760262,0.1452872,0.0645721,0.0807151
5,0.0,-0.4006632,77.29237,0.0,0.0,0.0,-11.448769,0.3448324,-0.1356221,24.041298,-12.5929365,-0.3705435,-11.4595995,0.344811,-0.135689,24.064331,-12.605141,-0.3705481,0.1089237,-0.0816928,0.0680773,4.455455,14.215667,-0.4796698,28.281437,-0.2698142,-0.1498968,-0.1798762,4.9501143,-14.320594,0.4496904,27.981642,0.2698142,0.1199174,0.1498968
6,0.0,-0.6575289,77.29237,0.0,0.0,0.0,-11.436867,0.5659411,-0.2224451,24.014565,-12.578797,-0.6080868,-11.454656,0.5658836,-0.2226254,24.052397,-12.59884,-0.6080992,0.1787548,-0.1340662,0.1117218,3.6386137,14.513575,-0.7871865,28.781153,-0.4427924,-0.2459958,-0.295195,4.4503994,-14.68577,0.7379874,28.289158,0.4427924,0.1967966,0.2459958
7,0.0,-0.9903961,77.29237,0.0,0.0,0.0,-11.415322,0.8525412,-0.3347152,23.965885,-12.553053,-0.915889,-11.44216,0.8524107,-0.3351249,24.022953,-12.583288,-0.9159172,0.2692477,-0.2019358,0.1682798,2.5800843,14.899626,-1.1856916,29.428722,-0.6669516,-0.3705286,-0.4446344,3.8028288,-15.158996,1.1115859,28.687664,0.6669516,0.2964229,0.3705286
8,0.0,-1.4004823,77.29237,0.0,0.0,0.0,-11.379211,1.2057786,-0.4724998,23.88399,-12.509748,-1.2950387,-11.417272,1.205517,-0.4733212,23.964914,-12.552622,-1.2950951,0.3807331,-0.2855498,0.2379582,1.2759961,15.375232,-1.6766425,30.226515,-0.9431114,-0.5239508,-0.6287409,3.0050335,-15.741999,1.5718522,29.178614,0.9431114,0.4191606,0.5239508
9,0.0,-1.8864404,77.29237,0.0,0.0,0.0,-11.322591,1.6246632,-0.634744,23.755297,-12.441706,-1.7442254,-11.374101,1.624187,-0.6362414,23.8648,-12.499718,-1.7443274,0.512845,-0.3846338,0.3205282,-0.2693672,15.938837,-2.2584262,31.171917,-1.2703648,-0.7057582,-0.8469098,2.059635,-16.432867,2.1172748,29.7604,1.2703648,0.5646066,0.7057582
10,0.0,-2.4446304,77.29237,0.0,0.0,0.0,-11.238707,2.106326,-0.8192772,23.564453,-12.340808,-2.2599826,-11.305944,2.1055224,-0.8218098,23.707354,-12.416511,-2.260153,0.6645937,-0.4984453,0.415371,-2.04443,16.586212,-2.9266853,32.25784,-1.6462605,-0.9145892,-1.097507,0.9737141,-17.226425,2.7437675,30.428656,1.6462605,0.7316714,0.9145892
11,0.0,-3.0693908,77.29237,0.0,0.0,0.0,-11.1202755,2.6462727,-1.0228318,23.295017,-12.198366,-2.836935,-11.205591,2.644997,-1.026866,23.476263,-12.29438,-2.8372016,0.8344402,-0.6258301,0.5215251,-4.0311894,17.310797,-3.6746416,33.473267,-2.0669858,-1.1483254,-1.3779907,-0.2417152,-18.114624,3.4449763,31.176615,2.0669858,0.9186604,1.1483254
12,0.0,-3.753311,77.29237,0.0,0.0,0.0,-10.959767,3.238627,-1.241092,22.930178,-12.005498,-3.4680505,-11.06563,3.2366996,-1.247212,23.154955,-12.124563,-3.4684443,1.0203696,-0.7652774,0.6377311,-6.2060785,18.10399,-4.4934235,34.803787,-2.527551,-1.4041948,-1.6850338,-1.5722356,-19.086927,4.2125845,31.995398,2.527551,1.1233559,1.4041948
13,0.0,-4.4875016,77.29237,0.0,0.0,0.0,-10.749666,3.8763611,-1.4687803,22.453447,-11.7534895,-4.1449003,-10.878746,3.8735683,-1.4777002,22.72733,-11.898556,-4.1454554,1.2199658,-0.9149745,0.7624787,-8.540832,18.955488,-5.3723893,36.232105,-3.021969,-1.6788716,-2.0146458,-3.0005548,-20.1307,5.036615,32.874363,3.021969,1.3430973,1.6788716
14,0.0,-5.261869,77.29237,0.0,0.0,0.0,-10.482682,4.551516,-1.6997898,21.849228,-11.434101,-4.857932,-10.637964,4.547606,-1.712369,22.178413,-11.608446,-4.85868,1.4304842,-1.0728632,0.8940527,-11.0033455,19.85358,-6.2994533,37.738586,-3.5434427,-1.968579,-2.3622952,-4.5070343,-21.231586,5.905738,33.801426,3.5434427,1.5748633,1.968579
15,0.0,-6.065383,77.29237,0.0,0.0,0.0,-10.151886,5.255402,-1.927358,21.103186,-11.039762,-5.5967436,-10.336841,5.2500854,-1.944624,21.494852,-11.247177,-5.5977106,1.6489264,-1.2366948,1.030579,-13.558546,20.785479,-7.261411,39.301765,-4.0845437,-2.269191,-2.7230294,-6.0702157,-22.373913,6.807574,34.763382,4.0845437,1.8153528,2.269191
16,0.0,-6.8863506,77.29237,0.0,0.0,0.0,-9.750741,5.978796,-2.1442726,20.20239,-10.563642,-6.3503704,-9.969558,5.9717374,-2.167458,20.665182,-10.808694,-6.3515744,1.8721136,-1.4040852,1.170071,-16.169252,21.73762,-8.244266,40.898903,-4.637399,-2.5763328,-3.0915995,-7.6673546,-23.541052,7.728999,35.74624,4.637399,2.0610664,2.5763328
17,0.0,-7.712689,77.29237,0.0,0.0,0.0,-9.272982,6.712128,-2.3430886,19.135096,-9.999534,-7.107573,-9.53094,6.7029376,-2.3736942,19.67988,-10.287964,-7.1090136,2.0967607,-1.5725706,1.3104755,-18.797039,22.695986,-9.233549,42.506493,-5.1938715,-2.8854842,-3.4625812,-9.2749405,-24.715828,8.656452,36.735523,5.1938715,2.3083873,2.8854842
18,0.0,-8.532195,77.29237,0.0,0.0,0.0,-8.712288,7.445677,-2.5163293,17.889994,-9.341463,-7.8571186,-9.016325,7.4338903,-2.5562282,18.531054,-9.6808195,-7.8587737,2.3195508,-1.739663,1.4497191,-21.403095,23.646431,-10.214653,44.100784,-5.745743,-3.192079,-3.8304949,-10.869235,-25.880888,9.576238,37.716625,5.745743,2.5536633,3.192079
19,0.0,-9.332819,77.29237,0.0,0.0,0.0,-8.061541,8.169779,-2.6566095,16.45461,-8.5828285,-8.588071,-8.421226,8.1548195,-2.7082381,17.211668,-8.983533,-8.589879,2.537207,-1.9029052,1.5857543,-23.949104,24.574976,-11.173151,45.658344,-6.2848973,-3.4916096,-4.1899314,-12.426792,-27.019104,10.474829,38.675125,6.2848973,2.7932878,3.4916096
20,0.0,-10.102931,77.29237,0.0,0.0,0.0,-7.311292,8.87509,-2.7565844,14.811965,-7.714639,-9.290054,-7.740623,8.856189,-2.8233042,15.71391,-8.191967,-9.291906,2.7465684,-2.0599265,1.7166054,-26.398088,25.468134,-12.095121,47.156544,-6.8035054,-3.7797253,-4.5356708,-13.924995,-28.113943,11.339176,39.597095,6.8035054,3.0237803,3.7797253
21,0.0,-10.831601,77.29237,0.0,0.0,0.0,-6.4463625,9.552933,-2.8084786,12.93332,-6.721678,-9.953533,-6.9674807,9.528965,-2.8953393,14.025955,-7.299846,-9.9552355,2.9446638,-2.2084978,1.8404148,-28.715282,26.31323,-12.967477,48.574123,-7.2942066,-4.0523367,-4.862804,-15.342573,-29.149866,12.15701,40.469448,7.2942066,3.2418692,4.0523367
22,0.0,-11.508865,77.29237,0.0,0.0,0.0,-5.437179,10.195913,-2.8024755,10.759989,-5.572873,-10.570119,-6.08943,10.164991,-2.9180815,12.124847,-6.2950068,-10.571316,3.1287837,-2.3465877,1.9554898,-30.869007,27.098703,-13.778291,49.891693,-7.750289,-4.3057156,-5.166859,-16.660143,-30.112707,12.917148,41.280266,7.750289,3.4445727,4.3057156
23,0.0,-12.125997,77.29237,0.0,0.0,0.0,-4.2113624,10.799458,-2.7209427,8.144074,-4.189952,-11.13301,-5.080179,10.757618,-2.88341,9.958491,-5.1498556,-11.132945,3.296556,-2.472417,2.0603476,-32.831505,27.814438,-14.517114,51.09228,-8.165876,-4.5365977,-5.4439173,-17.860731,-30.990057,13.609794,42.019085,8.165876,3.6292784,4.5365977
24,0.0,-12.67578,77.29237,0.0,0.0,0.0,-2.4872127,11.369619,-2.5041835,4.50207,-2.2641768,-11.638584,-3.8704028,11.303328,-2.7752268,7.3850026,-3.7892933,-11.634728,3.4460196,-2.5845146,2.153762,-34.579834,28.452066,-15.175309,52.161846,-8.536111,-4.742284,-5.690741,-18.930298,-31.771664,14.226851,42.67728,8.536111,3.7938273,4.742284
25,0.0,-13.152782,77.29237,0.0,0.0,0.0,-0.3382933,11.890309,-2.1571012,-0.006572,0.1202025,-12.081619,-2.1603274,11.810712,-2.5298815,3.783291,-1.8846824,-12.0748625,3.5756967,-2.6817727,2.2348106,-36.09672,29.005287,-15.746373,53.089825,-8.857334,-4.920741,-5.904889,-19.858274,-32.449802,14.762224,43.24834,8.857334,3.9365933,4.920741
26,0.0,-13.553626,77.29237,0.0,0.0,0.0,-0.3510027,12.240774,-2.2226734,-0.0070976,0.1197283,-12.437902,-0.3486054,12.25028,-2.2235372,-0.0131719,0.1231222,-12.447406,3.6846695,-2.7635021,2.3029184,-37.371414,29.47017,-16.226255,53.869637,-9.127269,-5.0707054,-6.084846,-20.638088,-33.019665,15.212113,43.72823,9.127269,4.056564,5.0707054
27,0.0,-13.8772545,77.29237,0.0,0.0,0.0,-0.3615406,12.522994,-2.2756066,-0.0075028,0.1193212,-12.724819,-0.3590998,12.533342,-2.2764847,-0.0137483,0.1228041,-12.735153,3.7726507,-2.829488,2.3579068,-38.400566,29.84551,-16.6137,54.499237,-9.345207,-5.191782,-6.2301383,-21.267689,-33.47976,15.575346,44.115673,9.345207,4.153425,5.191782
28,0.0,-14.125215,77.29237,0.0,0.0,0.0,-0.3697719,12.738772,-2.3161569,-0.0078209,0.1190045,-12.944197,-0.3672688,12.74978,-2.317039,-0.01426,0.1225884,-12.955177,3.8400607,-2.8800457,2.400038,-39.189087,30.133087,-16.910555,54.981625,-9.512188,-5.2845488,-6.3414583,-21.750076,-33.83227,15.853648,44.41253,9.512188,4.2276387,5.2845488
29,0.0,-14.301915,77.29237,0.0,0.0,0.0,-0.375714,12.892299,-2.3450487,-0.0080654,0.1187838,-13.100286,-0.373237,12.903777,-2.3459492,-0.0144982,0.1223642,-13.111733,3.8880987,-2.9160738,2.4300613,-39.751003,30.338022,-17.1221,55.32539,-9.631182,-5.3506565,-6.420788,-22.093836,-34.08348,16.05197,44.624073,9.631182,4.280525,5.3506565
30,0.0,-14.414912,77.29237,0.0,0.0,0.0,-0.3795647,12.990367,-2.363526,-0.008193,0.1186254,-13.199994,-0.3770597,13.002151,-2.3644285,-0.0147147,0.1222515,-13.211742,3.9188175,-2.9391131,2.449261,-40.110332,30.469072,-17.257378,55.545208,-9.707275,-5.3929305,-6.4715166,-22.313662,-34.24412,16.178791,44.75935,9.707275,4.3143444,5.3929305
31,0.0,-14.475166,77.29237,0.0,0.0,0.0,-0.3815798,13.04263,-2.3733673,-0.0083648,0.1185952,-13.253129,-0.3791461,13.054573,-2.3742902,-0.0147553,0.1221513,-13.2650385,3.9351983,-2.9513986,2.459499,-40.301945,30.53895,-17.329515,55.662437,-9.747852,-5.4154735,-6.498568,-22.430885,-34.329784,16.24642,44.83149,9.747852,4.332379,5.4154735
