Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0,0.0,77.29237,0.0,0.0,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
1,0.0,0.0042031,77.28934,0.0,0.0,0.0,-11.471561,-0.003617,0.0014242,24.090612,-12.61905,0.0038873,-11.471448,-0.003617,0.0014242,24.09037,-12.618921,0.0038873,-0.0016286,0.0012215,0.0010179,5.717551,13.759774,-0.0069385,27.509377,-0.0041631,0.0018503,-0.0023128,5.7099185,-13.758155,0.0074011,27.514,0.0041631,-0.0023128,0.0027754
2,0.0,0.0318016,77.269424,0.0,0.0,0.0,-11.552668,-0.027359,0.0108177,24.263102,-12.710437,0.02942,-11.551815,-0.0273591,0.0108173,24.261288,-12.709476,0.02942,-0.0123226,0.009242,0.0077016,5.6385794,13.817485,-0.0524989,27.557972,-0.0314993,0.0139997,-0.0174996,5.5808306,-13.805235,0.0559988,27.59297,0.0314993,-0.0174996,0.0209996
3,0.0,0.1013621,77.21922,0.0,0.0,0.0,-11.754399,-0.0871364,0.0348087,24.692122,-12.937749,0.0938318,-11.751726,-0.0871378,0.0348045,24.686438,-12.934736,0.0938315,-0.0392763,0.0294572,0.0245477,5.4395366,13.962939,-0.1673313,27.680458,-0.1003988,0.0446217,-0.0557771,5.2554727,-13.923896,0.1784867,27.792015,0.1003988,-0.0557771,0.0669325
4,0.0,0.2265547,77.128876,0.0,0.0,0.0,-12.108279,-0.1945014,0.0790945,25.444677,-13.336534,0.2099683,-12.102473,-0.1945079,0.0790742,25.432325,-13.329988,0.2099668,-0.0877865,0.0658399,0.0548666,5.081306,14.224723,-0.3740027,27.90091,-0.2244016,0.099734,-0.1246676,4.6699033,-14.137456,0.3989362,28.150244,0.2244016,-0.1246676,0.1496011
5,0.0,0.416562,76.99176,0.0,0.0,0.0,-12.624759,-0.3569366,0.1489119,26.542896,-13.918602,0.3867534,-12.614499,-0.3569583,0.1488459,26.521065,-13.907029,0.386748,-0.1614114,0.1210586,0.1008822,4.5376134,14.622039,-0.6876718,28.23549,-0.412603,0.1833791,-0.2292239,3.781174,-14.461581,0.7335166,28.693935,0.412603,-0.2292239,0.2750687
6,0.0,0.6764872,76.804184,0.0,0.0,0.0,-13.295802,-0.578207,0.2492109,27.969452,-14.674909,0.6296246,-13.279939,-0.5782625,0.249045,27.93569,-14.657006,0.62961,-0.2621286,0.1965964,0.1638304,3.793854,15.165554,-1.1167636,28.693188,-0.6700582,0.2978036,-0.3722545,2.5654142,-14.904974,1.1912144,29.437696,0.6700582,-0.3722545,0.4467054
7,0.0,1.0077641,76.56512,0.0,0.0,0.0,-14.100178,-0.8587772,0.384511,29.678768,-15.5814705,0.9409229,-14.077814,-0.8588964,0.384162,29.631145,-15.55621,0.9408892,-0.3904933,0.29287,0.2440583,2.8459277,15.858269,-1.6636442,29.276525,-0.9981865,0.4436384,-0.5545481,1.015919,-15.470086,1.7745538,30.385622,0.9981865,-0.5545481,0.6654576
8,0.0,1.408564,76.27588,0.0,0.0,0.0,-15.009474,-1.1962706,0.5585474,31.609713,-16.606071,1.3202246,-14.979975,-1.196496,0.5579027,31.546871,-16.57272,1.3201563,-0.5457971,0.4093478,0.3411232,1.6990654,16.696362,-2.3252954,29.982288,-1.3951774,0.6200788,-0.7750985,-0.8587598,-16.153791,2.4803152,31.532486,1.3951774,-0.7750985,0.9301183
9,0.0,1.8742058,75.93985,0.0,0.0,0.0,-15.993093,-1.5859374,0.7738515,33.696255,-17.713873,1.764622,-15.956059,-1.5863242,0.7727714,33.617313,-17.671953,1.7644964,-0.7262264,0.5446698,0.4538914,0.3666618,17.67004,-3.0939898,30.80223,-1.856394,0.825064,-1.03133,-3.0367272,-16.948109,3.3002558,32.864887,1.856394,-1.03133,1.2375959
10,0.0,2.3975646,75.562164,0.0,0.0,0.0,-17.021553,-2.0211074,1.0313734,35.874496,-18.871136,2.268957,-16.97676,-2.0217226,1.0296965,35.77897,-18.820375,2.2687435,-0.92902,0.696765,0.5806374,-1.1308948,18.764408,-3.9579651,31.7238,-2.374779,1.0554574,-1.3193216,-5.4846563,-17.840883,4.2218294,34.362446,2.374779,-1.3193216,1.5831859
11,0.0,2.9694798,75.149445,0.0,0.0,0.0,-18.068209,-2.4936159,1.330206,38.086464,-20.047205,2.826031,-18.015577,-2.494536,1.327756,37.97415,-19.987486,2.8256915,-1.1506284,0.8629713,0.7191428,-2.7673922,19.96031,-4.9020977,32.730877,-2.941259,1.3072261,-1.6340326,-8.159699,-18.816486,5.2289042,35.998943,2.941259,-1.6340326,1.9608392
12,0.0,3.579164,74.70947,0.0,0.0,0.0,-19.109922,-2.9941945,1.6674364,40.281673,-21.215332,3.426808,-19.04948,-2.995503,1.6640303,40.15263,-21.146662,3.4262967,-1.3868718,1.0401539,0.8667949,-4.511963,21.235188,-5.9085813,33.80446,-3.5451488,1.5756217,-1.969527,-11.011402,-19.85652,6.302487,37.743515,3.5451488,-1.969527,2.3634324
13,0.0,4.214612,74.25089,0.0,0.0,0.0,-20.127106,-3.5128343,2.0381258,42.417427,-22.352825,4.060635,-20.058977,-3.5146172,2.0335834,42.271904,-22.275326,4.059902,-1.6330982,1.2248237,1.0206864,-6.3302555,22.563942,-6.957596,34.92341,-4.1745577,1.8553588,-2.3191986,-13.983613,-20.940502,7.4214354,39.561806,4.1745577,-2.3191986,2.7830386
14,0.0,4.8630095,73.78298,0.0,0.0,0.0,-21.103487,-4.0391173,2.4354222,44.45849,-23.440893,4.7154984,-21.027878,-4.0414577,2.4295764,44.296917,-23.354774,4.7144914,-1.8843426,1.4132569,1.1777141,-8.185602,23.919771,-8.027988,36.06516,-4.816793,2.140797,-2.6759963,-17.01639,-22.046574,8.563188,41.417152,4.816793,-2.6759963,3.2111952
15,0.0,5.511142,73.315254,0.0,0.0,0.0,-22.02577,-4.5625253,2.8507946,46.376526,-24.464342,5.378334,-21.942965,-4.565498,2.843502,46.1995,-24.369911,5.3770027,-2.1354837,1.6016129,1.3346773,-10.040189,25.275047,-9.097942,37.206448,-5.4587655,2.426118,-3.0326474,-20.047926,-23.152193,9.704472,43.27174,5.4587655,-3.0326474,3.639177
16,0.0,6.145801,72.857254,0.0,0.0,0.0,-22.88328,-5.072729,3.2743816,48.14945,-25.411255,6.0354056,-22.793642,-5.0763955,3.2655327,47.95776,-25.308914,6.0337033,-2.3814046,1.7860537,1.4883779,-11.856225,26.60215,-10.145656,38.324005,-6.0873933,2.7055082,-3.3818853,-23.016447,-24.234829,10.822033,45.087776,6.0873933,-3.3818853,4.0582623
17,0.0,6.7541986,72.418205,0.0,0.0,0.0,-23.667662,-5.5598707,3.6954408,49.76084,-26.272684,6.672746,-23.571623,-5.5642724,3.68497,49.555416,-26.162928,6.6706376,-2.6171496,1.962862,1.6357183,-13.597114,27.874336,-11.150014,39.39532,-6.6900086,2.973337,-3.7166717,-25.86213,-25.272667,11.893348,46.828663,6.6900086,-3.7166717,4.4600058
