Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0,0.0,77.29237,0.0,0.0,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
1,6.81e-05,-0.0057762,77.291855,0.0,0.0,0.0,-11.461104,0.004971,-0.0019564,24.068504,-12.6074,-0.0053421,-11.46126,0.004971,-0.0019564,24.068836,-12.607575,-0.0053421,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
2,0.0005138,-0.0435552,77.288506,0.0,0.0,0.0,-11.473792,0.0374819,-0.0147606,24.09635,-12.622562,-0.0402835,-11.474966,0.0374816,-0.0147614,24.098848,-12.623887,-0.0402836,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
3,0.0016317,-0.1383233,77.28008,0.0,0.0,0.0,-11.505163,0.1190225,-0.046947,24.165169,-12.660054,-0.1279468,-11.508886,0.11902,-0.046955,24.173084,-12.6642475,-0.1279473,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
4,0.003633,-0.3079876,77.265015,0.0,0.0,0.0,-11.559727,0.264963,-0.1048029,24.284735,-12.72525,-0.2849368,-11.567974,0.2649505,-0.104842,24.302275,-12.734544,-0.2849396,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
5,0.006653,-0.564008,77.24227,0.0,0.0,0.0,-11.6382265,0.4850902,-0.1926384,24.456434,-12.819023,-0.5219398,-11.653224,0.4850484,-0.1927688,24.488333,-12.835923,-0.5219491,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
6,0.0107583,-0.9120291,77.211365,0.0,0.0,0.0,-11.7377,0.7841624,-0.3129747,24.673334,-12.937776,-0.8443089,-11.761742,0.7840536,-0.3133128,24.724466,-12.9648695,-0.8443334,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
7,0.0159542,-1.3525121,77.17223,0.0,0.0,0.0,-11.8519745,1.1624855,-0.4666378,24.921267,-13.074027,-1.2526346,-11.887275,1.1622481,-0.4673741,24.996347,-13.113814,-1.2526888,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
8,0.0221926,-1.8813676,77.12526,0.0,0.0,0.0,-11.972534,1.6165032,-0.6527836,25.180767,-13.2174425,-1.7433004,-12.021138,1.6160471,-0.6541942,25.284136,-13.272223,-1.743406,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
9,0.0293789,-2.490587,77.071144,0.0,0.0,0.0,-12.089614,2.1393867,-0.8689094,25.429523,-13.356134,-2.3090317,-12.153338,2.1385922,-0.871358,25.565025,-13.427952,-2.3092184,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
10,0.03738,-3.1688745,77.010895,0.0,0.0,0.0,-12.193324,2.721609,-1.1109065,25.644976,-13.478042,-2.9394455,-12.273735,2.7203302,-1.1148387,25.815908,-13.568644,-2.9397495,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
11,0.0460312,-3.9022808,76.945755,0.0,0.0,0.0,-12.274668,3.3514936,-1.3732073,25.80668,-13.572188,-3.62161,-12.373082,3.349562,-1.3791349,26.015793,-13.683037,-3.6220727,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
12,0.0551442,-4.674832,76.87713,0.0,0.0,0.0,-12.32638,4.0157294,-1.6490471,25.898315,-13.629752,-4.3406205,-12.443872,4.0129633,-1.6575259,26.147816,-13.762017,-4.3412867,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
13,0.0645141,-5.469165,76.80657,0.0,0.0,0.0,-12.343544,4.699855,-1.9308428,25.909145,-13.644845,-5.0801997,-12.480946,4.6960697,-1.9424438,26.200705,-13.799415,-5.081113,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
14,0.0739272,-6.267157,76.735695,0.0,0.0,0.0,-12.323992,5.388723,-2.2106628,25.834976,-13.615032,-5.82331,-12.481886,5.383743,-2.2259393,26.169714,-13.7925,-5.824508,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
15,0.0831683,-7.0505614,76.66611,0.0,0.0,0.0,-12.268505,6.0669503,-2.4807472,25.678576,-13.5415535,-6.552783,-12.447192,6.060622,-2.5001953,26.057001,-13.7421875,-6.554295,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
16,0.0920279,-7.8016343,76.59939,0.0,0.0,0.0,-12.180797,6.719387,-2.7340224,25.449545,-13.42928,-7.2519474,-12.38025,6.7115946,-2.7580402,25.871471,-13.652974,-7.253789,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
17,0.1003103,-8.503771,76.537025,0.0,0.0,0.0,-12.067282,7.331603,-2.9645524,25.163662,-13.286356,-7.9052486,-12.287083,7.3222766,-2.9933984,25.628077,-13.532575,-7.9074216,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
18,0.1078404,-9.142136,76.48032,0.0,0.0,0.0,-11.936607,7.8904176,-3.167874,24.841635,-13.123557,-8.4988575,-12.175877,7.879546,-3.201626,25.346579,-13.391256,-8.501349,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
19,0.1144716,-9.704296,76.43039,0.0,0.0,0.0,-11.798914,8.384477,-3.3411765,24.507275,-12.953335,-9.021257,-12.056247,8.372119,-3.379702,25.04972,-13.240909,-9.024042,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
20,0.1200931,-10.180853,76.388054,0.0,0.0,0.0,-11.664839,8.804884,-3.4833112,24.18516,-12.788577,-9.463812,-11.93828,8.791166,-3.5262508,24.760965,-13.093827,-9.466851,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
