Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0,0.0,77.29237,0.0,0.0,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
1,0.0004651,-0.0040514,77.29183,0.0,0.0,0.0,-11.460876,0.0034867,-0.0013722,24.068798,-12.607921,-0.003747,-11.460986,0.0034867,-0.0013722,24.06903,-12.608045,-0.003747,0.0,0.0,0.0,5.724935,13.750985,0.0,27.50197,0.0,0.0,0.0,5.73422,-13.750985,0.0,27.50197,0.0,0.0,0.0
2,0.0035165,-0.0306312,77.288284,0.0,0.0,0.0,-11.472136,0.0263604,-0.01038,24.09871,-12.626575,-0.0283305,-11.472961,0.0263603,-0.0103804,24.100466,-12.627507,-0.0283305,0.0,0.0,0.0,5.694477,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7646785,-13.750985,0.0,27.50197,0.0,0.0,0.0
3,0.0111992,-0.0975539,77.279366,0.0,0.0,0.0,-11.500209,0.0839462,-0.0331032,24.173409,-12.673224,-0.0902374,-11.502833,0.0839449,-0.0331072,24.178991,-12.676183,-0.0902377,0.0,0.0,0.0,5.617789,13.750985,0.0,27.50197,0.0,0.0,0.0,5.8413663,-13.750985,0.0,27.50197,0.0,0.0,0.0
4,0.0250103,-0.2178601,77.26332,0.0,0.0,0.0,-11.549705,0.1874467,-0.0741045,24.305525,-12.75594,-0.2015632,-11.555532,0.1874404,-0.0741241,24.317923,-12.76251,-0.2015646,0.0,0.0,0.0,5.4799285,13.750985,0.0,27.50197,0.0,0.0,0.0,5.979227,-13.750985,0.0,27.50197,0.0,0.0,0.0
5,0.0459453,-0.4002203,77.239006,0.0,0.0,0.0,-11.622382,0.3442862,-0.1366133,24.50053,-12.87856,-0.3703997,-11.633007,0.3442652,-0.1366789,24.523132,-12.890536,-0.3704044,0.0,0.0,0.0,5.2709594,13.750985,0.0,27.50197,0.0,0.0,0.0,6.188196,-13.750985,0.0,27.50197,0.0,0.0,0.0
6,0.0745442,-0.64934,77.20579,0.0,0.0,0.0,-11.717214,0.5584628,-0.2226666,24.756939,-13.0408125,-0.6012151,-11.734276,0.5584081,-0.2228375,24.79324,-13.060052,-0.6012275,0.0,0.0,0.0,4.985489,13.750985,0.0,27.50197,0.0,0.0,0.0,6.4736667,-13.750985,0.0,27.50197,0.0,0.0,0.0
7,0.1109386,-0.9663643,77.16352,0.0,0.0,0.0,-11.830691,0.830911,-0.3331956,25.067043,-13.238769,-0.8952233,-11.855775,0.8307909,-0.3335697,25.12042,-13.267064,-0.895251,0.0,0.0,0.0,4.6222057,13.750985,0.0,27.50197,0.0,0.0,0.0,6.83695,-13.750985,0.0,27.50197,0.0,0.0,0.0
8,0.1548976,-1.3492825,77.112465,0.0,0.0,0.0,-11.957408,1.1598706,-0.4680682,25.418251,-13.465579,-1.2507429,-11.991957,1.159639,-0.468788,25.491781,-13.504566,-1.2507976,0.0,0.0,0.0,4.183414,13.750985,0.0,27.50197,0.0,0.0,0.0,7.2757416,-13.750985,0.0,27.50197,0.0,0.0,0.0
9,0.2058745,-1.793332,77.05326,0.0,0.0,0.0,-12.090774,1.541258,-0.6261095,25.794754,-13.712401,-1.6635488,-12.136038,1.5408535,-0.6273636,25.891104,-13.763502,-1.6636466,0.0,0.0,0.0,3.6745708,13.750985,0.0,27.50197,0.0,0.0,0.0,7.784585,-13.750985,0.0,27.50197,0.0,0.0,0.0
10,0.2630532,-2.2914042,76.98685,0.0,0.0,0.0,-12.223784,1.9690295,-0.8051318,26.179329,-13.96938,-2.1272187,-12.280791,1.9683774,-0.8071514,26.30069,-14.033767,-2.1273801,0.0,0.0,0.0,3.103822,13.750985,0.0,27.50197,0.0,0.0,0.0,8.355333,-13.750985,0.0,27.50197,0.0,0.0,0.0
11,0.3253946,-2.8344483,76.914444,0.0,0.0,0.0,-12.349722,2.435536,-1.0019972,26.554995,-14.226573,-2.6334822,-12.41927,2.4345493,-1.0050471,26.703068,-14.305155,-2.6337316,0.0,0.0,0.0,2.4815395,13.750985,0.0,27.50197,0.0,0.0,0.0,8.977615,-13.750985,0.0,27.50197,0.0,0.0,0.0
12,0.3916833,-3.4118752,76.837456,0.0,0.0,0.0,-12.462739,2.931857,-1.2127315,26.90645,-14.474748,-3.1725729,-12.545396,2.9304438,-1.2170979,27.082438,-14.568176,-3.172938,0.0,0.0,0.0,1.8198566,13.750985,0.0,27.50197,0.0,0.0,0.0,9.639298,-13.750985,0.0,27.50197,0.0,0.0,0.0
13,0.4605735,-4.0119643,76.75745,0.0,0.0,0.0,-12.558285,3.4481297,-1.4326936,27.22116,-14.706001,-3.733595,-12.654395,3.4461951,-1.438668,27.425783,-14.814671,-3.734104,0.0,0.0,0.0,1.1322054,13.750985,0.0,27.50197,0.0,0.0,0.0,10.32695,-13.750985,0.0,27.50197,0.0,0.0,0.0
14,0.530636,-4.6222653,76.67607,0.0,0.0,0.0,-12.633361,3.973858,-1.6567938,27.490057,-14.914178,-4.304894,-12.743052,3.9713137,-1.6646554,27.723562,-15.038229,-4.305575,0.0,0.0,0.0,0.4328518,13.750985,0.0,27.50197,0.0,0.0,0.0,11.026303,-13.750985,0.0,27.50197,0.0,0.0,0.0
15,0.6004046,-5.2300053,76.59504,0.0,0.0,0.0,-12.686637,4.4982243,-1.8797476,27.707916,-15.095114,-4.874444,-12.809819,4.4949927,-1.8897436,27.970083,-15.234437,-4.875322,0.0,0.0,0.0,-0.2635669,13.750985,0.0,27.50197,0.0,0.0,0.0,11.722722,-13.750985,0.0,27.50197,0.0,0.0,0.0
16,0.6684221,-5.822492,76.51604,0.0,0.0,0.0,-12.718426,5.0104012,-2.0963402,27.873396,-15.246701,-5.4302444,-12.854794,5.0064225,-2.1086674,28.16354,-15.400943,-5.431337,0.0,0.0,0.0,-0.9425063,13.750985,0.0,27.50197,0.0,0.0,0.0,12.401662,-13.750985,0.0,27.50197,0.0,0.0,0.0
17,0.7332871,-6.3875184,76.440704,0.0,0.0,0.0,-12.730532,5.499874,-2.3016856,27.988758,-15.368796,-5.960712,-12.8795595,5.4951115,-2.3164728,28.305721,-15.537346,-5.9620323,0.0,0.0,0.0,-1.5899785,13.750985,0.0,27.50197,0.0,0.0,0.0,13.049133,-13.750985,0.0,27.50197,0.0,0.0,0.0
18,0.7937004,-6.9137673,76.37054,0.0,0.0,0.0,-12.7260065,5.95678,-2.4914548,28.059353,-15.463,-6.4550905,-12.886944,5.9512234,-2.5087473,28.401506,-15.64499,-6.4566417,0.0,0.0,0.0,-2.1930153,13.750985,0.0,27.50197,0.0,0.0,0.0,13.652169,-13.750985,0.0,27.50197,0.0,0.0,0.0
19,0.8485116,-7.3912168,76.30688,0.0,0.0,0.0,-12.708801,6.3722615,-2.662057,28.092867,-15.53228,-6.903841,-12.880681,6.36593,-2.6818085,28.458122,-15.726604,-6.9056168,0.0,0.0,0.0,-2.740132,13.750985,0.0,27.50197,0.0,0.0,0.0,14.199288,-13.750985,0.0,27.50197,0.0,0.0,0.0
20,0.8967653,-7.811544,76.25083,0.0,0.0,0.0,-12.683364,6.7388425,-2.810773,28.098404,-15.580559,-7.2990384,-12.865009,6.731786,-2.8328412,28.484243,-15.785877,-7.301025,0.0,0.0,0.0,-3.2217922,13.750985,0.0,27.50197,0.0,0.0,0.0,14.680949,-13.750985,0.0,27.50197,0.0,0.0,0.0
21,0.9377474,-8.168531,76.20323,0.0,0.0,0.0,-12.654185,7.050816,-2.935836,28.085495,-15.612218,-7.634762,-12.844242,7.043112,-2.9599872,28.48903,-15.826989,-7.636934,0.0,0.0,0.0,-3.630869,13.750985,0.0,27.50197,0.0,0.0,0.0,15.090026,-13.750985,0.0,27.50197,0.0,0.0,0.0
22,0.971032,-8.4584675,76.16457,0.0,0.0,0.0,-12.625357,7.304647,-3.036477,28.063087,-15.6316,-7.9074674,-12.822331,7.2963934,-3.062401,28.481169,-15.854141,-7.9097977,0.0,0.0,0.0,-3.9631116,13.750985,0.0,27.50197,0.0,0.0,0.0,15.422267,-13.750985,0.0,27.50197,0.0,0.0,0.0
23,0.9965278,-8.680555,76.134964,0.0,0.0,0.0,-12.60015,7.499366,-3.112956,28.038685,-15.642602,-8.116376,-12.802484,7.490678,-3.1402884,28.468016,-15.87115,-8.118831,0.0,0.0,0.0,-4.2176056,13.750985,0.0,27.50197,0.0,0.0,0.0,15.67676,-13.750985,0.0,27.50197,0.0,0.0,0.0
24,1.014524,-8.8373165,76.11407,0.0,0.0,0.0,-12.580721,7.6369615,-3.1666007,28.017668,-15.648352,-8.263842,-12.786871,7.62796,-3.194954,28.455002,-15.881178,-8.266384,0.0,0.0,0.0,-4.3972406,13.750985,0.0,27.50197,0.0,0.0,0.0,15.856395,-13.750985,0.0,27.50197,0.0,0.0,0.0
25,1.0257372,-8.934994,76.10104,0.0,0.0,0.0,-12.567928,7.7227626,-3.199879,28.002983,-15.651092,-8.355728,-12.77647,7.7135625,-3.2288802,28.445332,-15.886595,-8.358328,0.0,0.0,0.0,-4.50917,13.750985,0.0,27.50197,0.0,0.0,0.0,15.968327,-13.750985,0.0,27.50197,0.0,0.0,0.0
26,1.0313581,-8.983955,76.094505,0.0,0.0,0.0,-12.5613165,7.7657914,-3.2165172,27.995161,-15.652219,-8.401789,-12.771061,7.756491,-3.2458463,28.440031,-15.889072,-8.404417,0.0,0.0,0.0,-4.5652766,13.750985,0.0,27.50197,0.0,0.0,0.0,16.024433,-13.750985,0.0,27.50197,0.0,0.0,0.0
27,1.0330973,-8.999105,76.09249,0.0,0.0,0.0,-12.559243,7.779107,-3.221659,27.992678,-15.652536,-8.41604,-12.7693615,7.769776,-3.25109,28.438334,-15.889803,-8.418677,0.0,0.0,0.0,-4.582637,13.750985,0.0,27.50197,0.0,0.0,0.0,16.041794,-13.750985,0.0,27.50197,0.0,0.0,0.0
28,1.0332391,-9.0,76.09237,0.0,0.0,0.0,-12.583056,7.779263,-3.2254925,28.04289,-15.679196,-8.417644,-12.769222,7.770563,-3.2513945,28.438225,-15.889881,-8.41952,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
29,1.0348108,-9.0,76.09237,0.0,0.0,0.0,-12.839086,7.77233,-3.2632136,28.571198,-15.953841,-8.425691,-12.767673,7.770661,-3.2511892,28.438057,-15.891252,-8.419531,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
30,1.0409788,-9.0,76.09237,0.0,0.0,0.0,-13.337874,7.7582784,-3.3366954,29.57256,-16.461002,-8.441343,-12.761591,7.7710433,-3.2503836,28.43739,-15.896623,-8.419574,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
31,1.0543829,-9.0,76.09237,0.0,0.0,0.0,-14.02973,7.7378345,-3.438701,30.917791,-17.120686,-8.463259,-12.748365,7.7718735,-3.2486312,28.435923,-15.908286,-8.419667,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
32,1.0771334,-9.0,76.09237,0.0,0.0,0.0,-14.868359,7.7115946,-3.5624769,32.48917,-17.860992,-8.490182,-12.725896,7.773284,-3.2456536,28.43339,-15.92806,-8.419827,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
33,1.1108449,-9.0,76.09237,0.0,0.0,0.0,-15.814489,7.6799498,-3.702222,34.18772,-18.621815,-8.520907,-12.692548,7.7753754,-3.241233,28.42952,-15.957296,-8.420064,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
34,1.1566688,-9.0,76.09237,0.0,0.0,0.0,-16.836294,7.643108,-3.8531268,35.93394,-19.355124,-8.554268,-12.647115,7.7782207,-3.2352083,28.424038,-15.99692,-8.420385,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
35,1.2153269,-9.0,76.09237,0.0,0.0,0.0,-17.908236,7.601178,-4.011214,37.665226,-20.023563,-8.589134,-12.588784,7.7818666,-3.2274697,28.416658,-16.04745,-8.420799,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
36,1.2871438,-9.0,76.09237,0.0,0.0,0.0,-19.00949,7.554257,-4.173123,39.33249,-20.598629,-8.624424,-12.517104,7.786335,-3.2179544,28.407066,-16.10901,-8.421307,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
37,1.3720808,-9.0,76.09237,0.0,0.0,0.0,-20.12247,7.5025034,-4.3359275,40.897007,-21.058956,-8.659111,-12.431954,7.791628,-3.2066429,28.394918,-16.181393,-8.421908,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
38,1.4697682,-9.0,76.09237,0.0,0.0,0.0,-21.231668,7.4462185,-4.4969893,42.327877,-21.388985,-8.692241,-12.33352,7.7977266,-3.1935556,28.37988,-16.264069,-8.422605,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
39,1.5795387,-9.0,76.09237,0.0,0.0,0.0,-22.322802,7.385881,-4.6538687,43.600178,-21.577915,-8.722934,-12.222267,7.804591,-3.1787498,28.361612,-16.356234,-8.42339,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
40,1.700461,-9.0,76.09237,0.0,0.0,0.0,-23.382263,7.322189,-4.8042736,44.69365,-21.61897,-8.750408,-12.098924,7.812168,-3.1623178,28.339815,-16.456865,-8.42426,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
41,1.8313714,-9.0,76.09237,0.0,0.0,0.0,-24.39679,7.2560577,-4.9460406,45.591797,-21.50881,-8.773978,-11.964461,7.8203874,-3.1443834,28.31422,-16.564741,-8.425207,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
42,1.9709086,-9.0,76.09237,0.0,0.0,0.0,-25.353315,7.188626,-5.077137,46.281296,-21.247107,-8.793076,-11.82007,7.8291664,-3.125101,28.284668,-16.6785,-8.426223,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
43,2.1175456,-9.0,76.09237,0.0,0.0,0.0,-26.238972,7.121217,-5.1956778,46.75162,-20.836168,-8.807246,-11.667142,7.8384113,-3.1046515,28.251068,-16.796677,-8.427296,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
44,2.269623,-9.0,76.09237,0.0,0.0,0.0,-27.041172,7.0553102,-5.299952,46.99482,-20.28061,-8.816161,-11.50725,7.8480177,-3.083241,28.213459,-16.917753,-8.428417,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
45,2.4253826,-9.0,76.09237,0.0,0.0,0.0,-27.74778,6.9924774,-5.388446,47.005337,-19.587015,-8.819621,-11.34212,7.857876,-3.0610976,28.172012,-17.040182,-8.429573,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
46,2.5830002,-9.0,76.09237,0.0,0.0,0.0,-28.347343,6.934324,-5.4598703,46.779903,-18.763607,-8.8175535,-11.17361,7.8678694,-3.038468,28.12705,-17.162437,-8.43075,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
47,2.7406173,-9.0,76.09237,0.0,0.0,0.0,-28.829319,6.882419,-5.513172,46.317455,-17.819916,-8.810014,-11.003675,7.877879,-3.015614,28.079023,-17.283041,-8.431934,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
48,2.8963768,-9.0,76.09237,0.0,0.0,0.0,-29.184307,6.8382287,-5.547551,45.619026,-16.766417,-8.797178,-10.834341,7.8877864,-2.9928071,28.028553,-17.40059,-8.433114,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
49,3.0484545,-9.0,76.09237,0.0,0.0,0.0,-29.404314,6.8030543,-5.562459,44.687634,-15.614195,-8.779343,-10.667657,7.8974714,-2.9703252,27.976364,-17.513788,-8.434272,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
50,3.1950912,-9.0,76.09237,0.0,0.0,0.0,-29.482937,6.777975,-5.5575995,43.528206,-14.374639,-8.756914,-10.505666,7.90682,-2.9484463,27.92331,-17.621454,-8.435394,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
51,3.3346283,-9.0,76.09237,0.0,0.0,0.0,-29.415558,6.7638106,-5.53292,42.14748,-13.059134,-8.730401,-10.350356,7.9157257,-2.9274414,27.870317,-17.722546,-8.43647,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
52,3.4655392,-9.0,76.09237,0.0,0.0,0.0,-29.199549,6.761088,-5.488605,40.553944,-11.678854,-8.700405,-10.203612,7.9240866,-2.9075701,27.818361,-17.816175,-8.437484,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
53,3.5864613,-9.0,76.09237,0.0,0.0,0.0,-28.834385,6.770026,-5.425077,38.757877,-10.244616,-8.667615,-10.067171,7.931814,-2.8890724,27.768444,-17.901613,-8.438425,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
54,3.696232,-9.0,76.09237,0.0,0.0,0.0,-28.321892,6.79053,-5.3429956,36.771507,-8.766834,-8.632789,-9.942566,7.9388328,-2.8721611,27.721518,-17.978292,-8.439283,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
55,3.793919,-9.0,76.09237,0.0,0.0,0.0,-27.666502,6.82219,-5.2432866,34.60942,-7.255661,-8.596756,-9.831077,7.94508,-2.8570154,27.678457,-18.045826,-8.440051,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
56,3.878856,-9.0,76.09237,0.0,0.0,0.0,-26.8757,6.86428,-5.127187,32.289333,-5.721334,-8.560398,-9.733678,7.9505143,-2.8437726,27.640018,-18.104002,-8.44072,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
57,3.9506729,-9.0,76.09237,0.0,0.0,0.0,-25.96074,6.9157486,-4.9963384,29.833565,-4.174917,-8.524644,-9.65099,7.9551105,-2.8325214,27.606794,-18.152798,-8.441288,0.0,0.0,0.0,-4.583662,13.750985,0.0,27.50197,0.0,0.0,0.0,16.042818,-13.750985,0.0,27.50197,0.0,0.0,0.0
