Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0,0.0,77.29237,0.0,0.0,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
1,0.0003086,0.0028227,77.29199,0.0,0.0,0.0,-11.460445,-0.0024292,0.000956,24.067574,-12.607128,0.0026105,-11.460369,-0.0024292,0.000956,24.067411,-12.607042,0.0026105,0.0,0.0,0.0,5.7328124,13.750985,0.0,27.50197,0.0,0.0,0.0,5.726343,-13.750985,0.0,27.50197,0.0,0.0,0.0
2,0.0023491,0.0214855,77.289505,0.0,0.0,0.0,-11.468956,-0.01849,0.0072797,24.089664,-12.620709,0.0198715,-11.468375,-0.0184901,0.0072795,24.08843,-12.620056,0.0198714,0.0,0.0,0.0,5.7541986,13.750985,0.0,27.50197,0.0,0.0,0.0,5.704957,-13.750985,0.0,27.50197,0.0,0.0,0.0
3,0.0075346,0.0689137,77.28318,0.0,0.0,0.0,-11.490442,-0.059302,0.0233734,24.145489,-12.655058,0.063742,-11.488585,-0.0593026,0.0233714,24.14154,-12.6529665,0.0637419,0.0,0.0,0.0,5.8085465,13.750985,0.0,27.50197,0.0,0.0,0.0,5.6506085,-13.750985,0.0,27.50197,0.0,0.0,0.0
4,0.0169523,0.1550512,77.27169,0.0,0.0,0.0,-11.528954,-0.1334109,0.0526864,24.245731,-12.71684,0.1434375,-11.524793,-0.1334141,0.0526764,24.236883,-12.712151,0.1434368,0.0,0.0,0.0,5.9072533,13.750985,0.0,27.50197,0.0,0.0,0.0,5.551902,-13.750985,0.0,27.50197,0.0,0.0,0.0
5,0.0313875,0.2870809,77.25409,0.0,0.0,0.0,-11.586714,-0.246973,0.0978218,24.39655,-12.810047,0.2656402,-11.579055,-0.2469839,0.0977879,24.38026,-12.801415,0.2656378,0.0,0.0,0.0,6.0585485,13.750985,0.0,27.50197,0.0,0.0,0.0,5.400607,-13.750985,0.0,27.50197,0.0,0.0,0.0
6,0.0513476,0.4696426,77.22975,0.0,0.0,0.0,-11.664103,-0.4039433,0.1606254,24.599548,-12.936012,0.4347072,-11.651671,-0.4039722,0.1605354,24.573101,-12.921997,0.4347007,0.0,0.0,0.0,6.2677484,13.750985,0.0,27.50197,0.0,0.0,0.0,5.191407,-13.750985,0.0,27.50197,0.0,0.0,0.0
7,0.0770858,0.7050531,77.198364,0.0,0.0,0.0,-11.759754,-0.606269,0.2422485,24.852034,-13.093561,0.6528738,-11.741269,-0.6063335,0.2420475,24.812704,-13.072715,0.6528592,0.0,0.0,0.0,6.537509,13.750985,0.0,27.50197,0.0,0.0,0.0,4.921646,-13.750985,0.0,27.50197,0.0,0.0,0.0
8,0.1086254,0.993525,77.1599,0.0,0.0,0.0,-11.87081,-0.8540877,0.343183,25.147589,-13.279337,0.9204518,-11.845046,-0.8542145,0.3427879,25.092766,-13.250276,0.9204224,0.0,0.0,0.0,6.8680735,13.750985,0.0,27.50197,0.0,0.0,0.0,4.5910816,-13.750985,0.0,27.50197,0.0,0.0,0.0
9,0.1457835,1.3333861,77.114586,0.0,0.0,0.0,-11.993258,-1.1459291,0.4632768,25.47688,-13.488253,1.2360219,-11.959097,-1.1461554,0.4625736,25.404177,-13.449705,1.2359685,0.0,0.0,0.0,7.2575254,13.750985,0.0,27.50197,0.0,0.0,0.0,4.20163,-13.750985,0.0,27.50197,0.0,0.0,0.0
10,0.1881953,1.721298,77.06287,0.0,0.0,0.0,-12.122368,-1.4789168,0.6017422,25.828619,-13.714018,1.596624,-12.078823,-1.4792901,0.6005844,25.735937,-13.6648655,1.5965341,0.0,0.0,0.0,7.7020392,13.750985,0.0,27.50197,0.0,0.0,0.0,3.7571156,-13.750985,0.0,27.50197,0.0,0.0,0.0
11,0.2353374,2.1524763,77.00537,0.0,0.0,0.0,-12.253108,-1.848967,0.7571664,26.190575,-13.949685,1.9979442,-12.199349,-1.8495448,0.7553778,26.076134,-13.888979,1.9978023,0.0,0.0,0.0,8.196134,13.750985,0.0,27.50197,0.0,0.0,0.0,3.2630217,-13.750985,0.0,27.50197,0.0,0.0,0.0
12,0.2865527,2.6209087,76.94292,0.0,0.0,0.0,-12.380551,-2.2509816,0.9275407,26.550499,-14.188171,2.4345033,-12.315905,-2.2518294,0.9249203,26.41287,-14.115146,2.4342911,0.0,0.0,0.0,8.732917,13.750985,0.0,27.50197,0.0,0.0,0.0,2.7262378,-13.750985,0.0,27.50197,0.0,0.0,0.0
13,0.3410735,3.1195748,76.87643,0.0,0.0,0.0,-12.500215,-2.6790338,1.1103123,26.896969,-14.422717,2.8998477,-12.424167,-2.6802227,1.106641,26.735064,-14.336785,2.899544,0.0,0.0,0.0,9.304347,13.750985,0.0,27.50197,0.0,0.0,0.0,2.1548088,-13.750985,0.0,27.50197,0.0,0.0,0.0
