Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0,0.0,77.29237,0.0,0.0,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,-11.459155,0.0,0.0,24.064226,-12.605071,0.0,0.0,0.0,0.0,5.7295775,13.750985,0.0,27.50197,0.0,0.0,0.0,5.7295775,-13.750985,0.0,27.50197,0.0,0.0,0.0
1,0.0,0.0030422,77.29018,0.0,0.0,0.0,-11.468136,-0.0026181,0.0010307,24.083328,-12.6151905,0.0028136,-11.468055,-0.0026181,0.0010307,24.08315,-12.615098,0.0028136,-0.0010926,0.0008194,0.0006829,5.7210855,13.757192,-0.0048993,27.507196,-0.0029396,0.0013065,-0.0016331,5.7156963,-13.756049,0.0052259,27.510468,0.0029396,-0.0016331,0.0019597
2,0.0,0.0231566,77.27566,0.0,0.0,0.0,-11.5273285,-0.0199236,0.0078676,24.209213,-12.681886,0.0214208,-11.526706,-0.0199237,0.0078673,24.20789,-12.681185,0.0214208,-0.0083163,0.0062372,0.0051977,5.664938,13.798223,-0.037292,27.54175,-0.0223752,0.0099445,-0.0124307,5.6239166,-13.789521,0.0397782,27.56661,0.0223752,-0.0124307,0.0149168
3,0.0,0.0742736,77.23877,0.0,0.0,0.0,-11.67629,-0.0638683,0.0254128,24.526009,-12.849734,0.0687384,-11.674319,-0.063869,0.0254106,24.521818,-12.847512,0.0687383,-0.026674,0.0200055,0.0166713,5.5222497,13.902496,-0.119612,27.629559,-0.0717672,0.0318965,-0.0398707,5.390677,-13.874585,0.1275862,27.709303,0.0717672,-0.0398707,0.0478448
4,0.0,0.1671108,77.171776,0.0,0.0,0.0,-11.941674,-0.1435571,0.0578921,25.090385,-13.148784,0.1547905,-11.937334,-0.1435607,0.0578809,25.081154,-13.143891,0.1547897,-0.0600149,0.0450112,0.0375093,5.263104,14.09187,-0.2691194,27.78903,-0.1614716,0.0717652,-0.0897064,4.967073,-14.029077,0.2870607,27.968449,0.1614716,-0.0897064,0.1076478
5,0.0,0.3094094,77.069084,0.0,0.0,0.0,-12.336407,-0.2654072,0.1091619,25.92978,-13.593626,0.2869795,-12.328617,-0.2654194,0.1091247,25.913206,-13.58484,0.2869766,-0.1111189,0.0833392,0.0694493,4.8658915,14.382142,-0.4982806,28.033472,-0.2989683,0.1328748,-0.1660935,4.317783,-14.265877,0.5314992,28.365662,0.2989683,-0.1660935,0.1993122
6,0.0,0.5061704,76.92709,0.0,0.0,0.0,-12.86046,-0.4333372,0.1828815,27.044016,-14.18425,0.4703468,-12.848211,-0.4333688,0.1827857,27.017948,-14.170429,0.4703388,-0.1817821,0.1363366,0.1136138,4.3166523,14.783509,-0.8151492,28.371466,-0.4890896,0.2173731,-0.2717164,3.419988,-14.5933075,0.8694925,28.9149,0.4890896,-0.2717164,0.3260597
7,0.0,0.7598906,76.743996,0.0,0.0,0.0,-13.503339,-0.6489908,0.2825092,28.410557,-14.908817,0.7078114,-13.485778,-0.6490603,0.2823028,28.37317,-14.888993,0.7077929,-0.2729012,0.2046759,0.1705633,3.6084168,15.301065,-1.2237465,28.807299,-0.734248,0.3263324,-0.4079155,2.2622955,-15.015525,1.3053297,29.623133,0.734248,-0.4079155,0.4894986
8,0.0,1.0707992,76.51962,0.0,0.0,0.0,-14.247517,-0.9119928,0.4111536,29.991756,-15.747514,1.000382,-14.223984,-0.9121268,0.4107633,29.94164,-15.720928,1.0003437,-0.3845586,0.2884189,0.2403491,2.7405455,15.93528,-1.7244416,29.341375,-1.034665,0.4598511,-0.5748138,0.8436599,-15.532908,1.8394043,30.491005,1.034665,-0.5748138,0.6897766
9,0.0,1.4370939,76.255295,0.0,0.0,0.0,-15.071846,-1.220218,0.5713448,31.7421,-16.676338,1.3473371,-15.041867,-1.2204521,0.5706761,31.678226,-16.642439,1.3472658,-0.5161068,0.3870801,0.3225668,1.7180696,16.682472,-2.3143315,29.970592,-1.3885989,0.6171551,-0.7714438,-0.827695,-16.142464,2.4686203,31.513481,1.3885989,-0.7714438,0.9257326
